model_ID,model,Npar,n_elements,df,Deviance,p.value
12,S,5,1,1,6.284986123146609,0.012176503158266206
27,Al+S,6,2,2,6.4133287021777505,0.04049145353000293
41,Co+S,6,2,2,7.880578693979771,0.01944258827703026
54,Fe+S,6,2,2,6.3239116716786725,0.042342844388181984
66,Hg+S,6,2,2,7.427160702887022,0.02439004183646622
77,Ir+S,5,2,1,6.284986123146609,0.012176503158266206
87,K+S,6,2,2,6.349268950753697,0.04180938365142428
96,Mg+S,6,2,2,7.452131664390379,0.024087413599411633
104,Mo+S,6,2,2,6.324614594544414,0.042327965126318
111,Na+S,6,2,2,6.298637765296235,0.04288132413646905
117,O+S,5,2,1,6.284986123146609,0.012176503158266206
122,P+S,6,2,2,8.655033534457857,0.01320028620762645
127,S+Si,5,2,1,6.284986123146609,0.012176503158266206
128,S+Ti,6,2,2,7.043171482993046,0.029552535310625332
129,S+W,5,2,1,6.284986123146609,0.012176503158266206
130,S+Y,5,2,1,6.284986123146609,0.012176503158266206
146,Al+Co+S,7,3,3,7.9351830835250325,0.047370442616411365
182,Al+Ir+S,6,3,2,6.4133287021777505,0.04049145353000293
222,Al+O+S,6,3,2,6.4133287021777505,0.04049145353000293
227,Al+P+S,7,3,3,8.805180907507975,0.031996450317922975
232,Al+S+Si,6,3,2,6.4133287021777505,0.04049145353000293
234,Al+S+W,6,3,2,6.4133287021777505,0.04049145353000293
235,Al+S+Y,6,3,2,6.4133287021777505,0.04049145353000293
250,Co+Fe+S,7,3,3,7.892073590165694,0.048295682613619634
262,Co+Hg+S,7,3,3,8.984631243357057,0.029495921940251354
273,Co+Ir+S,6,3,2,7.880578693979771,0.01944258827703026
283,Co+K+S,7,3,3,7.958033134591403,0.04688704351005302
292,Co+Mg+S,7,3,3,8.908889816879594,0.03052709584601519
300,Co+Mo+S,7,3,3,7.985935630794643,0.046303269827267485
307,Co+Na+S,7,3,3,7.888202233325558,0.048379627440587485
313,Co+O+S,6,3,2,7.880578693979771,0.01944258827703026
318,Co+P+S,7,3,3,10.136350894669931,0.017441961578144004
323,Co+S+Si,6,3,2,7.880578693979771,0.01944258827703026
324,Co+S+Ti,7,3,3,8.690596977201267,0.03370037542593041
325,Co+S+W,6,3,2,7.880578693979771,0.01944258827703026
326,Co+S+Y,6,3,2,7.880578693979771,0.01944258827703026
351,Fe+Ir+S,6,3,2,6.3239116716786725,0.042342844388181984
391,Fe+O+S,6,3,2,6.3239116716786725,0.042342844388181984
396,Fe+P+S,7,3,3,8.686854607900159,0.03375749723696838
401,Fe+S+Si,6,3,2,6.3239116716786725,0.042342844388181984
403,Fe+S+W,6,3,2,6.3239116716786725,0.042342844388181984
404,Fe+S+Y,6,3,2,6.3239116716786725,0.042342844388181984
417,Hg+Ir+S,6,3,2,7.427160702887022,0.02439004183646622
436,Hg+Mg+S,7,3,3,8.619095323357556,0.03480826720956248
457,Hg+O+S,6,3,2,7.427160702887022,0.02439004183646622
462,Hg+P+S,7,3,3,9.820925127161274,0.02015130744784285
467,Hg+S+Si,6,3,2,7.427160702887022,0.02439004183646622
468,Hg+S+Ti,7,3,3,8.17395794596672,0.042550054815051364
469,Hg+S+W,6,3,2,7.427160702887022,0.02439004183646622
470,Hg+S+Y,6,3,2,7.427160702887022,0.02439004183646622
482,Ir+K+S,6,3,2,6.349268950753697,0.04180938365142428
491,Ir+Mg+S,6,3,2,7.452131664390379,0.024087413599411633
499,Ir+Mo+S,6,3,2,6.324614594544414,0.042327965126318
506,Ir+Na+S,6,3,2,6.298637765296235,0.04288132413646905
512,Ir+O+S,5,3,1,6.284986123146609,0.012176503158266206
517,Ir+P+S,6,3,2,8.655033534457857,0.01320028620762645
522,Ir+S+Si,5,3,1,6.284986123146609,0.012176503158266206
523,Ir+S+Ti,6,3,2,7.043171482993046,0.029552535310625332
524,Ir+S+W,5,3,1,6.284986123146609,0.012176503158266206
525,Ir+S+Y,5,3,1,6.284986123146609,0.012176503158266206
557,K+O+S,6,3,2,6.349268950753697,0.04180938365142428
562,K+P+S,7,3,3,8.727746509267206,0.033138443181381906
567,K+S+Si,6,3,2,6.349268950753697,0.04180938365142428
569,K+S+W,6,3,2,6.349268950753697,0.04180938365142428
570,K+S+Y,6,3,2,6.349268950753697,0.04180938365142428
593,Mg+O+S,6,3,2,7.452131664390379,0.024087413599411633
598,Mg+P+S,7,3,3,9.760858749482338,0.020712226619072606
603,Mg+S+Si,6,3,2,7.452131664390379,0.024087413599411633
604,Mg+S+Ti,7,3,3,8.245000996890269,0.041210561364260795
605,Mg+S+W,6,3,2,7.452131664390379,0.024087413599411633
606,Mg+S+Y,6,3,2,7.452131664390379,0.024087413599411633
621,Mo+O+S,6,3,2,6.324614594544414,0.042327965126318
626,Mo+P+S,7,3,3,9.192822277517621,0.02683408027847575
631,Mo+S+Si,6,3,2,6.324614594544414,0.042327965126318
633,Mo+S+W,6,3,2,6.324614594544414,0.042327965126318
634,Mo+S+Y,6,3,2,6.324614594544414,0.042327965126318
642,Na+O+S,6,3,2,6.298637765296235,0.04288132413646905
647,Na+P+S,7,3,3,8.6730780707436,0.033968592778789594
652,Na+S+Si,6,3,2,6.298637765296235,0.04288132413646905
654,Na+S+W,6,3,2,6.298637765296235,0.04288132413646905
655,Na+S+Y,6,3,2,6.298637765296235,0.04288132413646905
662,O+P+S,6,3,2,8.655033534457857,0.01320028620762645
667,O+S+Si,5,3,1,6.284986123146609,0.012176503158266206
668,O+S+Ti,6,3,2,7.043171482993046,0.029552535310625332
669,O+S+W,5,3,1,6.284986123146609,0.012176503158266206
670,O+S+Y,5,3,1,6.284986123146609,0.012176503158266206
677,P+S+Si,6,3,2,8.655033534457857,0.01320028620762645
678,P+S+Ti,7,3,3,9.382817786144926,0.024611220646312677
679,P+S+W,6,3,2,8.655033534457857,0.01320028620762645
680,P+S+Y,6,3,2,8.655033534457857,0.01320028620762645
687,S+Si+Ti,6,3,2,7.043171482993046,0.029552535310625332
688,S+Si+W,5,3,1,6.284986123146609,0.012176503158266206
689,S+Si+Y,5,3,1,6.284986123146609,0.012176503158266206
690,S+Ti+W,6,3,2,7.043171482993046,0.029552535310625332
691,S+Ti+Y,6,3,2,7.043171482993046,0.029552535310625332
692,S+W+Y,5,3,1,6.284986123146609,0.012176503158266206
728,Al+Co+Ir+S,7,4,3,7.9351830835250325,0.047370442616411365
768,Al+Co+O+S,7,4,3,7.9351830835250325,0.047370442616411365
773,Al+Co+P+S,8,4,4,10.208124854553148,0.037064045395808584
778,Al+Co+S+Si,7,4,3,7.9351830835250325,0.047370442616411365
780,Al+Co+S+W,7,4,3,7.9351830835250325,0.047370442616411365
781,Al+Co+S+Y,7,4,3,7.9351830835250325,0.047370442616411365
917,Al+Hg+P+S,8,4,4,10.00808134341355,0.04029177263469568
967,Al+Ir+O+S,6,4,2,6.4133287021777505,0.04049145353000293
972,Al+Ir+P+S,7,4,3,8.805180907507975,0.031996450317922975
977,Al+Ir+S+Si,6,4,2,6.4133287021777505,0.04049145353000293
979,Al+Ir+S+W,6,4,2,6.4133287021777505,0.04049145353000293
980,Al+Ir+S+Y,6,4,2,6.4133287021777505,0.04049145353000293
1053,Al+Mg+P+S,8,4,4,9.897386130084385,0.04219213192721626
1117,Al+O+P+S,7,4,3,8.805180907507975,0.031996450317922975
1122,Al+O+S+Si,6,4,2,6.4133287021777505,0.04049145353000293
1124,Al+O+S+W,6,4,2,6.4133287021777505,0.04049145353000293
1125,Al+O+S+Y,6,4,2,6.4133287021777505,0.04049145353000293
1132,Al+P+S+Si,7,4,3,8.805180907507975,0.031996450317922975
1133,Al+P+S+Ti,8,4,4,9.546210583048833,0.04880633412039467
1134,Al+P+S+W,7,4,3,8.805180907507975,0.031996450317922975
1135,Al+P+S+Y,7,4,3,8.805180907507975,0.031996450317922975
1143,Al+S+Si+W,6,4,2,6.4133287021777505,0.04049145353000293
1144,Al+S+Si+Y,6,4,2,6.4133287021777505,0.04049145353000293
1147,Al+S+W+Y,6,4,2,6.4133287021777505,0.04049145353000293
1170,Co+Fe+Ir+S,7,4,3,7.892073590165694,0.048295682613619634
1210,Co+Fe+O+S,7,4,3,7.892073590165694,0.048295682613619634
1215,Co+Fe+P+S,8,4,4,10.145220591853388,0.0380512345012754
1220,Co+Fe+S+Si,7,4,3,7.892073590165694,0.048295682613619634
1222,Co+Fe+S+W,7,4,3,7.892073590165694,0.048295682613619634
1223,Co+Fe+S+Y,7,4,3,7.892073590165694,0.048295682613619634
1236,Co+Hg+Ir+S,7,4,3,8.984631243357057,0.029495921940251354
1255,Co+Hg+Mg+S,8,4,4,10.03670242068307,0.03981395205962629
1276,Co+Hg+O+S,7,4,3,8.984631243357057,0.029495921940251354
1281,Co+Hg+P+S,8,4,4,11.263747160135438,0.023754430357512003
1286,Co+Hg+S+Si,7,4,3,8.984631243357057,0.029495921940251354
1287,Co+Hg+S+Ti,8,4,4,9.782652595097943,0.04425242320281234
1288,Co+Hg+S+W,7,4,3,8.984631243357057,0.029495921940251354
1289,Co+Hg+S+Y,7,4,3,8.984631243357057,0.029495921940251354
1301,Co+Ir+K+S,7,4,3,7.958033134591403,0.04688704351005302
1310,Co+Ir+Mg+S,7,4,3,8.908889816879594,0.03052709584601519
1318,Co+Ir+Mo+S,7,4,3,7.985935630794643,0.046303269827267485
1325,Co+Ir+Na+S,7,4,3,7.888202233325558,0.048379627440587485
1331,Co+Ir+O+S,6,4,2,7.880578693979771,0.01944258827703026
1336,Co+Ir+P+S,7,4,3,10.136350894669931,0.017441961578144004
1341,Co+Ir+S+Si,6,4,2,7.880578693979771,0.01944258827703026
1342,Co+Ir+S+Ti,7,4,3,8.690596977201267,0.03370037542593041
1343,Co+Ir+S+W,6,4,2,7.880578693979771,0.01944258827703026
1344,Co+Ir+S+Y,6,4,2,7.880578693979771,0.01944258827703026
1376,Co+K+O+S,7,4,3,7.958033134591403,0.04688704351005302
1381,Co+K+P+S,8,4,4,10.222219453483035,0.03684625309708681
1386,Co+K+S+Si,7,4,3,7.958033134591403,0.04688704351005302
1388,Co+K+S+W,7,4,3,7.958033134591403,0.04688704351005302
1389,Co+K+S+Y,7,4,3,7.958033134591403,0.04688704351005302
1412,Co+Mg+O+S,7,4,3,8.908889816879594,0.03052709584601519
1417,Co+Mg+P+S,8,4,4,11.117131302184475,0.025278685143319064
1422,Co+Mg+S+Si,7,4,3,8.908889816879594,0.03052709584601519
1423,Co+Mg+S+Ti,8,4,4,9.748923979064728,0.044876208151261636
1424,Co+Mg+S+W,7,4,3,8.908889816879594,0.03052709584601519
1425,Co+Mg+S+Y,7,4,3,8.908889816879594,0.03052709584601519
1440,Co+Mo+O+S,7,4,3,7.985935630794643,0.046303269827267485
1445,Co+Mo+P+S,8,4,4,10.847833141412309,0.028328452767239613
1450,Co+Mo+S+Si,7,4,3,7.985935630794643,0.046303269827267485
1452,Co+Mo+S+W,7,4,3,7.985935630794643,0.046303269827267485
1453,Co+Mo+S+Y,7,4,3,7.985935630794643,0.046303269827267485
1461,Co+Na+O+S,7,4,3,7.888202233325558,0.048379627440587485
1466,Co+Na+P+S,8,4,4,10.147428547648303,0.03801615989852868
1471,Co+Na+S+Si,7,4,3,7.888202233325558,0.048379627440587485
1473,Co+Na+S+W,7,4,3,7.888202233325558,0.048379627440587485
1474,Co+Na+S+Y,7,4,3,7.888202233325558,0.048379627440587485
1481,Co+O+P+S,7,4,3,10.136350894669931,0.017441961578144004
1486,Co+O+S+Si,6,4,2,7.880578693979771,0.01944258827703026
1487,Co+O+S+Ti,7,4,3,8.690596977201267,0.03370037542593041
1488,Co+O+S+W,6,4,2,7.880578693979771,0.01944258827703026
1489,Co+O+S+Y,6,4,2,7.880578693979771,0.01944258827703026
1496,Co+P+S+Si,7,4,3,10.136350894669931,0.017441961578144004
1497,Co+P+S+Ti,8,4,4,10.914894014332276,0.027537323739658056
1498,Co+P+S+W,7,4,3,10.136350894669931,0.017441961578144004
1499,Co+P+S+Y,7,4,3,10.136350894669931,0.017441961578144004
1506,Co+S+Si+Ti,7,4,3,8.690596977201267,0.03370037542593041
1507,Co+S+Si+W,6,4,2,7.880578693979771,0.01944258827703026
1508,Co+S+Si+Y,6,4,2,7.880578693979771,0.01944258827703026
1509,Co+S+Ti+W,7,4,3,8.690596977201267,0.03370037542593041
1510,Co+S+Ti+Y,7,4,3,8.690596977201267,0.03370037542593041
1511,Co+S+W+Y,6,4,2,7.880578693979771,0.01944258827703026
1567,Fe+Hg+P+S,8,4,4,9.855659619572464,0.04293054800455542
1617,Fe+Ir+O+S,6,4,2,6.3239116716786725,0.042342844388181984
1622,Fe+Ir+P+S,7,4,3,8.686854607900159,0.03375749723696838
1627,Fe+Ir+S+Si,6,4,2,6.3239116716786725,0.042342844388181984
1629,Fe+Ir+S+W,6,4,2,6.3239116716786725,0.042342844388181984
1630,Fe+Ir+S+Y,6,4,2,6.3239116716786725,0.042342844388181984
1703,Fe+Mg+P+S,8,4,4,9.789153004703621,0.04413316179006364
1767,Fe+O+P+S,7,4,3,8.686854607900159,0.03375749723696838
1772,Fe+O+S+Si,6,4,2,6.3239116716786725,0.042342844388181984
1774,Fe+O+S+W,6,4,2,6.3239116716786725,0.042342844388181984
1775,Fe+O+S+Y,6,4,2,6.3239116716786725,0.042342844388181984
1782,Fe+P+S+Si,7,4,3,8.686854607900159,0.03375749723696838
1784,Fe+P+S+W,7,4,3,8.686854607900159,0.03375749723696838
1785,Fe+P+S+Y,7,4,3,8.686854607900159,0.03375749723696838
1793,Fe+S+Si+W,6,4,2,6.3239116716786725,0.042342844388181984
1794,Fe+S+Si+Y,6,4,2,6.3239116716786725,0.042342844388181984
1797,Fe+S+W+Y,6,4,2,6.3239116716786725,0.042342844388181984
1816,Hg+Ir+Mg+S,7,4,3,8.619095323357556,0.03480826720956248
1837,Hg+Ir+O+S,6,4,2,7.427160702887022,0.02439004183646622
1842,Hg+Ir+P+S,7,4,3,9.820925127161274,0.02015130744784285
1847,Hg+Ir+S+Si,6,4,2,7.427160702887022,0.02439004183646622
1848,Hg+Ir+S+Ti,7,4,3,8.17395794596672,0.042550054815051364
1849,Hg+Ir+S+W,6,4,2,7.427160702887022,0.02439004183646622
1850,Hg+Ir+S+Y,6,4,2,7.427160702887022,0.02439004183646622
1887,Hg+K+P+S,8,4,4,9.885404904248219,0.042402902498170615
1918,Hg+Mg+O+S,7,4,3,8.619095323357556,0.03480826720956248
1923,Hg+Mg+P+S,8,4,4,10.950798765750847,0.02712256891371202
1928,Hg+Mg+S+Si,7,4,3,8.619095323357556,0.03480826720956248
1930,Hg+Mg+S+W,7,4,3,8.619095323357556,0.03480826720956248
1931,Hg+Mg+S+Y,7,4,3,8.619095323357556,0.03480826720956248
1951,Hg+Mo+P+S,8,4,4,10.513268343564278,0.032614712018228915
1972,Hg+Na+P+S,8,4,4,9.841348569928016,0.04318664638103617
1987,Hg+O+P+S,7,4,3,9.820925127161274,0.02015130744784285
1992,Hg+O+S+Si,6,4,2,7.427160702887022,0.02439004183646622
1993,Hg+O+S+Ti,7,4,3,8.17395794596672,0.042550054815051364
1994,Hg+O+S+W,6,4,2,7.427160702887022,0.02439004183646622
1995,Hg+O+S+Y,6,4,2,7.427160702887022,0.02439004183646622
2002,Hg+P+S+Si,7,4,3,9.820925127161274,0.02015130744784285
2003,Hg+P+S+Ti,8,4,4,10.537103476647417,0.03228971911467597
2004,Hg+P+S+W,7,4,3,9.820925127161274,0.02015130744784285
2005,Hg+P+S+Y,7,4,3,9.820925127161274,0.02015130744784285
2012,Hg+S+Si+Ti,7,4,3,8.17395794596672,0.042550054815051364
2013,Hg+S+Si+W,6,4,2,7.427160702887022,0.02439004183646622
2014,Hg+S+Si+Y,6,4,2,7.427160702887022,0.02439004183646622
2015,Hg+S+Ti+W,7,4,3,8.17395794596672,0.042550054815051364
2016,Hg+S+Ti+Y,7,4,3,8.17395794596672,0.042550054815051364
2017,Hg+S+W+Y,6,4,2,7.427160702887022,0.02439004183646622
2047,Ir+K+O+S,6,4,2,6.349268950753697,0.04180938365142428
2052,Ir+K+P+S,7,4,3,8.727746509267206,0.033138443181381906
2057,Ir+K+S+Si,6,4,2,6.349268950753697,0.04180938365142428
2059,Ir+K+S+W,6,4,2,6.349268950753697,0.04180938365142428
2060,Ir+K+S+Y,6,4,2,6.349268950753697,0.04180938365142428
2083,Ir+Mg+O+S,6,4,2,7.452131664390379,0.024087413599411633
2088,Ir+Mg+P+S,7,4,3,9.760858749482338,0.020712226619072606
2093,Ir+Mg+S+Si,6,4,2,7.452131664390379,0.024087413599411633
2094,Ir+Mg+S+Ti,7,4,3,8.245000996890269,0.041210561364260795
2095,Ir+Mg+S+W,6,4,2,7.452131664390379,0.024087413599411633
2096,Ir+Mg+S+Y,6,4,2,7.452131664390379,0.024087413599411633
2111,Ir+Mo+O+S,6,4,2,6.324614594544414,0.042327965126318
2116,Ir+Mo+P+S,7,4,3,9.192822277517621,0.02683408027847575
2121,Ir+Mo+S+Si,6,4,2,6.324614594544414,0.042327965126318
2123,Ir+Mo+S+W,6,4,2,6.324614594544414,0.042327965126318
2124,Ir+Mo+S+Y,6,4,2,6.324614594544414,0.042327965126318
2132,Ir+Na+O+S,6,4,2,6.298637765296235,0.04288132413646905
2137,Ir+Na+P+S,7,4,3,8.6730780707436,0.033968592778789594
2142,Ir+Na+S+Si,6,4,2,6.298637765296235,0.04288132413646905
2144,Ir+Na+S+W,6,4,2,6.298637765296235,0.04288132413646905
2145,Ir+Na+S+Y,6,4,2,6.298637765296235,0.04288132413646905
2152,Ir+O+P+S,6,4,2,8.655033534457857,0.01320028620762645
2157,Ir+O+S+Si,5,4,1,6.284986123146609,0.012176503158266206
2158,Ir+O+S+Ti,6,4,2,7.043171482993046,0.029552535310625332
2159,Ir+O+S+W,5,4,1,6.284986123146609,0.012176503158266206
2160,Ir+O+S+Y,5,4,1,6.284986123146609,0.012176503158266206
2167,Ir+P+S+Si,6,4,2,8.655033534457857,0.01320028620762645
2168,Ir+P+S+Ti,7,4,3,9.382817786144926,0.024611220646312677
2169,Ir+P+S+W,6,4,2,8.655033534457857,0.01320028620762645
2170,Ir+P+S+Y,6,4,2,8.655033534457857,0.01320028620762645
2177,Ir+S+Si+Ti,6,4,2,7.043171482993046,0.029552535310625332
2178,Ir+S+Si+W,5,4,1,6.284986123146609,0.012176503158266206
2179,Ir+S+Si+Y,5,4,1,6.284986123146609,0.012176503158266206
2180,Ir+S+Ti+W,6,4,2,7.043171482993046,0.029552535310625332
2181,Ir+S+Ti+Y,6,4,2,7.043171482993046,0.029552535310625332
2182,Ir+S+W+Y,5,4,1,6.284986123146609,0.012176503158266206
2208,K+Mg+P+S,8,4,4,9.819690676562175,0.043577004970001186
2272,K+O+P+S,7,4,3,8.727746509267206,0.033138443181381906
2277,K+O+S+Si,6,4,2,6.349268950753697,0.04180938365142428
2279,K+O+S+W,6,4,2,6.349268950753697,0.04180938365142428
2280,K+O+S+Y,6,4,2,6.349268950753697,0.04180938365142428
2287,K+P+S+Si,7,4,3,8.727746509267206,0.033138443181381906
2288,K+P+S+Ti,8,4,4,9.502980590628908,0.04968603892449188
2289,K+P+S+W,7,4,3,8.727746509267206,0.033138443181381906
2290,K+P+S+Y,7,4,3,8.727746509267206,0.033138443181381906
2298,K+S+Si+W,6,4,2,6.349268950753697,0.04180938365142428
2299,K+S+Si+Y,6,4,2,6.349268950753697,0.04180938365142428
2302,K+S+W+Y,6,4,2,6.349268950753697,0.04180938365142428
2320,Mg+Mo+P+S,8,4,4,10.3310692993781,0.0352052593761296
2341,Mg+Na+P+S,8,4,4,9.77228011240328,0.044443364339277015
2356,Mg+O+P+S,7,4,3,9.760858749482338,0.020712226619072606
2361,Mg+O+S+Si,6,4,2,7.452131664390379,0.024087413599411633
2362,Mg+O+S+Ti,7,4,3,8.245000996890269,0.041210561364260795
2363,Mg+O+S+W,6,4,2,7.452131664390379,0.024087413599411633
2364,Mg+O+S+Y,6,4,2,7.452131664390379,0.024087413599411633
2371,Mg+P+S+Si,7,4,3,9.760858749482338,0.020712226619072606
2372,Mg+P+S+Ti,8,4,4,10.52229104024508,0.03249131808056187
2373,Mg+P+S+W,7,4,3,9.760858749482338,0.020712226619072606
2374,Mg+P+S+Y,7,4,3,9.760858749482338,0.020712226619072606
2381,Mg+S+Si+Ti,7,4,3,8.245000996890269,0.041210561364260795
2382,Mg+S+Si+W,6,4,2,7.452131664390379,0.024087413599411633
2383,Mg+S+Si+Y,6,4,2,7.452131664390379,0.024087413599411633
2384,Mg+S+Ti+W,7,4,3,8.245000996890269,0.041210561364260795
2385,Mg+S+Ti+Y,7,4,3,8.245000996890269,0.041210561364260795
2386,Mg+S+W+Y,6,4,2,7.452131664390379,0.024087413599411633
2412,Mo+O+P+S,7,4,3,9.192822277517621,0.02683408027847575
2417,Mo+O+S+Si,6,4,2,6.324614594544414,0.042327965126318
2419,Mo+O+S+W,6,4,2,6.324614594544414,0.042327965126318
2420,Mo+O+S+Y,6,4,2,6.324614594544414,0.042327965126318
2427,Mo+P+S+Si,7,4,3,9.192822277517621,0.02683408027847575
2428,Mo+P+S+Ti,8,4,4,9.962515558483403,0.04106385838304866
2429,Mo+P+S+W,7,4,3,9.192822277517621,0.02683408027847575
2430,Mo+P+S+Y,7,4,3,9.192822277517621,0.02683408027847575
2438,Mo+S+Si+W,6,4,2,6.324614594544414,0.042327965126318
2439,Mo+S+Si+Y,6,4,2,6.324614594544414,0.042327965126318
2442,Mo+S+W+Y,6,4,2,6.324614594544414,0.042327965126318
2447,Na+O+P+S,7,4,3,8.6730780707436,0.033968592778789594
2452,Na+O+S+Si,6,4,2,6.298637765296235,0.04288132413646905
2454,Na+O+S+W,6,4,2,6.298637765296235,0.04288132413646905
2455,Na+O+S+Y,6,4,2,6.298637765296235,0.04288132413646905
2462,Na+P+S+Si,7,4,3,8.6730780707436,0.033968592778789594
2464,Na+P+S+W,7,4,3,8.6730780707436,0.033968592778789594
2465,Na+P+S+Y,7,4,3,8.6730780707436,0.033968592778789594
2473,Na+S+Si+W,6,4,2,6.298637765296235,0.04288132413646905
2474,Na+S+Si+Y,6,4,2,6.298637765296235,0.04288132413646905
2477,Na+S+W+Y,6,4,2,6.298637765296235,0.04288132413646905
2482,O+P+S+Si,6,4,2,8.655033534457857,0.01320028620762645
2483,O+P+S+Ti,7,4,3,9.382817786144926,0.024611220646312677
2484,O+P+S+W,6,4,2,8.655033534457857,0.01320028620762645
2485,O+P+S+Y,6,4,2,8.655033534457857,0.01320028620762645
2492,O+S+Si+Ti,6,4,2,7.043171482993046,0.029552535310625332
2493,O+S+Si+W,5,4,1,6.284986123146609,0.012176503158266206
2494,O+S+Si+Y,5,4,1,6.284986123146609,0.012176503158266206
2495,O+S+Ti+W,6,4,2,7.043171482993046,0.029552535310625332
2496,O+S+Ti+Y,6,4,2,7.043171482993046,0.029552535310625332
2497,O+S+W+Y,5,4,1,6.284986123146609,0.012176503158266206
2502,P+S+Si+Ti,7,4,3,9.382817786144926,0.024611220646312677
2503,P+S+Si+W,6,4,2,8.655033534457857,0.01320028620762645
2504,P+S+Si+Y,6,4,2,8.655033534457857,0.01320028620762645
2505,P+S+Ti+W,7,4,3,9.382817786144926,0.024611220646312677
2506,P+S+Ti+Y,7,4,3,9.382817786144926,0.024611220646312677
2507,P+S+W+Y,6,4,2,8.655033534457857,0.01320028620762645
2512,S+Si+Ti+W,6,4,2,7.043171482993046,0.029552535310625332
2513,S+Si+Ti+Y,6,4,2,7.043171482993046,0.029552535310625332
2514,S+Si+W+Y,5,4,1,6.284986123146609,0.012176503158266206
2515,S+Ti+W+Y,6,4,2,7.043171482993046,0.029552535310625332
