model_ID,model,Npar,n_elements,df,Deviance,p.value
1,Al,36,1,1,8.56464642588162,0.0034275353333889425
3,Ca,36,1,1,6.5761939320716465,0.010335165283524014
4,Fe,36,1,1,36.21411204765218,1.767857362067351e-9
9,S,36,1,1,36.03832598323743,1.934744286358169e-9
10,Si,36,1,1,54.00715168202305,1.997611915721256e-13
14,Al+Ba,37,2,2,10.234385699439827,0.005992822057204321
15,Al+Ca,37,2,2,14.459023046755192,7.248748611067678e-4
16,Al+Fe,37,2,2,39.70425960077796,2.389624012345218e-9
17,Al+K,37,2,2,9.080887823105058,0.010668669556530608
18,Al+Mg,37,2,2,10.42670033424497,0.005443406783694281
19,Al+Mn,37,2,2,9.079254458566538,0.01067738602860365
20,Al+O,37,2,2,8.597114075755371,0.01358815206152432
21,Al+S,37,2,2,39.370159163734115,2.8240901871462386e-9
22,Al+Si,37,2,2,58.952874288510884,1.5795959155337214e-13
23,Al+Sn,37,2,2,8.565104060832255,0.013807380231127446
24,Al+Ta,37,2,2,8.86037193875677,0.011912274148567633
25,Al+Ti,37,2,2,9.28409564188837,0.009637940628366206
26,Ba+Ca,37,2,2,8.217540208607033,0.01642796679221658
27,Ba+Fe,37,2,2,37.08083534483012,8.871537909329926e-9
32,Ba+S,37,2,2,36.89569732734367,9.731978086998991e-9
33,Ba+Si,37,2,2,55.084236038831705,1.0929747381308317e-12
37,Ca+Fe,37,2,2,39.181257123912246,3.1038313725461373e-9
38,Ca+K,37,2,2,8.254382089898172,0.016128118414534636
39,Ca+Mg,37,2,2,7.970464978770906,0.018588122279217224
40,Ca+Mn,37,2,2,6.804579256487841,0.03329694499008054
41,Ca+O,37,2,2,6.679385503652611,0.035447847334961126
42,Ca+S,37,2,2,38.931699351393945,3.5163241248345177e-9
43,Ca+Si,37,2,2,57.03136584872914,4.128537733352375e-13
44,Ca+Sn,37,2,2,6.626791823546682,0.03639237836744718
45,Ca+Ta,37,2,2,6.9918133846645105,0.03032124393006804
46,Ca+Ti,37,2,2,7.020535516093105,0.029888910369143335
47,Fe+K,37,2,2,36.81054309744172,1.0155285290384302e-8
48,Fe+Mg,37,2,2,37.1495209749628,8.572036618407975e-9
49,Fe+Mn,37,2,2,36.87705706758197,9.823105386254341e-9
50,Fe+O,37,2,2,36.21953043917415,1.3646739346199784e-8
51,Fe+S,37,2,2,46.34968673593926,8.61575630084105e-11
52,Fe+Si,37,2,2,63.01211358991168,2.075359739232225e-14
53,Fe+Sn,37,2,2,36.26499709760378,1.3340003303745355e-8
54,Fe+Ta,37,2,2,36.621159704069214,1.1163906995757399e-8
55,Fe+Ti,37,2,2,37.21458992061389,8.297637839442858e-9
59,K+S,37,2,2,36.242953384390376,1.3487848173070893e-8
60,K+Si,37,2,2,55.50856430956219,8.840328655138064e-13
66,Mg+S,37,2,2,37.46085426841637,7.336329891081064e-9
67,Mg+Si,37,2,2,54.54054582638537,1.4344022368439443e-12
72,Mn+S,37,2,2,37.04148727059942,9.047805133810362e-9
73,Mn+Si,37,2,2,55.559895115574136,8.616324926527533e-13
77,O+S,37,2,2,36.91814098468785,9.623377981813352e-9
78,O+Si,37,2,2,54.084181399906356,1.8020599297307114e-12
82,S+Si,37,2,2,63.46220000521703,1.6571368089986072e-14
83,S+Sn,37,2,2,36.088907325359514,1.456777903194059e-8
84,S+Ta,37,2,2,36.17805351560469,1.3932706741477991e-8
85,S+Ti,37,2,2,36.84938384348334,9.959968562387639e-9
86,Si+Sn,37,2,2,54.0186956627374,1.862041161277607e-12
87,Si+Ta,37,2,2,54.112533885296216,1.7766937144386663e-12
88,Si+Ti,37,2,2,55.061842558459375,1.10528126019979e-12
92,Al+Ba+Ca,38,3,3,16.0123871182343,0.0011273724211539127
93,Al+Ba+Fe,38,3,3,40.55828032042518,8.113318224380234e-9
94,Al+Ba+K,38,3,3,10.72853356335645,0.013288123695691389
95,Al+Ba+Mg,38,3,3,12.0248822234837,0.007298408738929284
96,Al+Ba+Mn,38,3,3,10.768426138159384,0.01304631121596056
97,Al+Ba+O,38,3,3,10.250897135774267,0.01654950925964431
98,Al+Ba+S,38,3,3,40.21435466117646,9.59659609663352e-9
99,Al+Ba+Si,38,3,3,59.89445940747896,6.191478012305915e-13
100,Al+Ba+Sn,38,3,3,10.234450112995546,0.016674833962210776
101,Al+Ba+Ta,38,3,3,10.524021062316024,0.014598830672884153
102,Al+Ba+Ti,38,3,3,10.365137257324704,0.015704219078962665
103,Al+Ca+Fe,38,3,3,42.55770683136279,3.0549762723683577e-9
104,Al+Ca+K,38,3,3,14.869874419032158,0.0019312952649470348
105,Al+Ca+Mg,38,3,3,16.440423148469563,9.20974306385934e-4
106,Al+Ca+Mn,38,3,3,14.87860396985593,0.001923384478903001
107,Al+Ca+O,38,3,3,14.523521186477183,0.0022726123521924022
108,Al+Ca+S,38,3,3,42.12344177645355,3.777274409594447e-9
109,Al+Ca+Si,38,3,3,61.61541589670537,2.6549208377550964e-13
110,Al+Ca+Sn,38,3,3,14.463634554572764,0.002337416263763329
111,Al+Ca+Ta,38,3,3,14.787735362176818,0.002007328776899428
112,Al+Ca+Ti,38,3,3,15.037360245992204,0.001784998787556124
113,Al+Fe+K,38,3,3,39.87216463680488,1.1341058391888307e-8
114,Al+Fe+Mg,38,3,3,40.95732680471383,6.676907209402881e-9
115,Al+Fe+Mn,38,3,3,40.537720352602264,8.195170853732099e-9
116,Al+Fe+O,38,3,3,39.707825775490164,1.2288092367209482e-8
117,Al+Fe+S,38,3,3,48.77408721263623,1.4572075407893877e-10
118,Al+Fe+Si,38,3,3,65.91410620841134,3.197480856057291e-14
119,Al+Fe+Sn,38,3,3,39.86814695998487,1.1363317859500737e-8
120,Al+Fe+Ta,38,3,3,40.05193962013618,1.0388366121058661e-8
121,Al+Fe+Ti,38,3,3,40.78336889521711,7.2688847782744595e-9
122,Al+K+Mg,38,3,3,10.937274606782466,0.012069936124732802
123,Al+K+Mn,38,3,3,9.631469054359059,0.02197310674162266
124,Al+K+O,38,3,3,9.113665878340043,0.02781719394532064
125,Al+K+S,38,3,3,39.37597431979725,1.4448027149178025e-8
126,Al+K+Si,38,3,3,59.5375405828529,7.37975293830744e-13
127,Al+K+Sn,38,3,3,9.08736210496022,0.028151629144663123
128,Al+K+Ta,38,3,3,9.36247346411983,0.024840329408762442
129,Al+K+Ti,38,3,3,9.824050781401183,0.020122531103008257
130,Al+Mg+Mn,38,3,3,10.885214489533155,0.01236303598674426
131,Al+Mg+O,38,3,3,10.50162233087508,0.014749895976904159
132,Al+Mg+S,38,3,3,41.205705258900025,5.914170482105311e-9
133,Al+Mg+Si,38,3,3,59.85120777703537,6.324619992207107e-13
134,Al+Mg+Sn,38,3,3,10.428775547297391,0.015251919786374354
135,Al+Mg+Ta,38,3,3,10.741351333909961,0.013209950136949658
136,Al+Mg+Ti,38,3,3,11.271731965048502,0.010343705363766203
137,Al+Mn+O,38,3,3,9.120601174184912,0.027729666552564102
138,Al+Mn+S,38,3,3,40.557975299062264,8.114526577092394e-9
139,Al+Mn+Si,38,3,3,60.837987918680255,3.892212894891218e-13
140,Al+Mn+Sn,38,3,3,9.0795008764876,0.028252341692936153
141,Al+Mn+Ta,38,3,3,9.48127907985986,0.023531355845567793
142,Al+Mn+Ti,38,3,3,9.8000479619202,0.020344552477035198
143,Al+O+S,38,3,3,40.22931619819178,9.526763596370094e-9
144,Al+O+Si,38,3,3,59.0502200897522,9.3785304640098e-13
145,Al+O+Sn,38,3,3,8.597579503520592,0.03514855977932861
146,Al+O+Ta,38,3,3,8.892550168339085,0.030754134330059472
147,Al+O+Ti,38,3,3,9.309377522912428,0.02544816970882649
148,Al+S+Si,38,3,3,66.31815135531747,2.6203497088506157e-14
149,Al+S+Sn,38,3,3,39.529604132185796,1.3404601804557522e-8
150,Al+S+Ta,38,3,3,39.48439737407307,1.3703568643431004e-8
151,Al+S+Ti,38,3,3,40.26831744882543,9.34710327643098e-9
152,Al+Si+Sn,38,3,3,58.97175005337135,9.747537512282725e-13
153,Al+Si+Ta,38,3,3,59.02755987076648,9.48363305820317e-13
154,Al+Si+Ti,38,3,3,60.141621342387225,5.482638815292818e-13
155,Al+Sn+Ta,38,3,3,8.860910660273476,0.031198471082209286
156,Al+Sn+Ti,38,3,3,9.284146909629271,0.025742096853938624
157,Al+Ta+Ti,38,3,3,9.570373666399973,0.02259436839798417
158,Ba+Ca+Fe,38,3,3,40.019509264302314,1.0554112115068917e-8
159,Ba+Ca+K,38,3,3,9.82673034137656,0.020097893864200644
