Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 14 - Feature 569	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.190083	2.715852	0.323847	0.454545	1.136364	96	134	110.98913	108	10211	Histogram-570.csv
Measurement 14 - Feature 570	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.10124	1.279188	0.777485	0.363636	0.409091	63	106	91.367347	90	4477	Histogram-571.csv
Measurement 14 - Feature 571	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.099174	1.410037	0.626823	0.318182	0.5	59	118	100	105	4800	Histogram-572.csv
Measurement 14 - Feature 572	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.152893	1.656138	0.700492	0.636364	0.318182	44	119	101.945946	107	7544	Histogram-573.csv
Measurement 14 - Feature 573	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.177686	2.454154	0.370732	0.5	1	49	121	96.837209	102	8328	Histogram-574.csv
Measurement 14 - Feature 574	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.241736	3.227827	0.291561	0.727273	1.272727	66	135	107.205128	108	12543	Histogram-575.csv
Measurement 14 - Feature 575	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.167355	2.279188	0.404845	0.363636	0.909091	64	127	96.679012	99	7831	Histogram-576.csv
Measurement 14 - Feature 576	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.161157	1.525289	0.870473	0.363636	0.545455	71	129	101.794872	105	7940	Histogram-577.csv
Measurement 14 - Feature 577	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.070248	1.150623	0.666772	0.409091	0.272727	102	118	104.764706	103	3562	Histogram-578.csv
Measurement 14 - Feature 578	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.18595	2.558376	0.357008	0.545455	1	40	124	102.955556	106	9266	Histogram-579.csv
Measurement 14 - Feature 579	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.293388	2.039548	0.886309	0.636364	0.636364	90	120	104.253521	105	14804	Histogram-580.csv
Measurement 14 - Feature 580	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	0.698362	0.905008	0.227273	0.181818	102	116	104.176471	102	1771	Histogram-581.csv
Measurement 14 - Feature 581	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.115702	1.38341	0.759715	0.318182	0.5	52	134	106.303571	107	5953	Histogram-582.csv
Measurement 14 - Feature 582	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.092975	1.432095	0.569683	0.409091	0.5	81	121	105.933333	106	4767	Histogram-583.csv
Measurement 14 - Feature 583	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.159091	2.370097	0.355896	1	0.272727	57	129	105.415584	107	8117	Histogram-584.csv
Measurement 14 - Feature 584	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.078512	1.241532	0.640077	0.272727	0.454545	100	119	104.552632	102	3973	Histogram-585.csv
Measurement 14 - Feature 585	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.039256	0.826927	0.721413	0.318182	0.181818	102	118	105.473684	103	2004	Histogram-586.csv
Measurement 14 - Feature 586	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.18595	2.678196	0.325778	0.454545	1.090909	59	126	104.7	106	9423	Histogram-587.csv
Measurement 14 - Feature 587	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.154959	2.170397	0.413378	0.863636	0.454545	68	124	102.266667	105	7670	Histogram-588.csv
Measurement 14 - Feature 588	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.243802	3.327481	0.276704	1.272727	0.863636	95	133	108.101695	107	12756	Histogram-589.csv
Measurement 14 - Feature 589	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	1.163936	0.440792	0.272727	0.272727	90	118	102.652174	102	2361	Histogram-590.csv
Measurement 14 - Feature 590	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.084711	1.412321	0.533681	0.181818	0.590909	67	134	105.829268	107	4339	Histogram-591.csv
Measurement 14 - Feature 591	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.154959	2.108399	0.438046	0.318182	0.909091	85	132	109.093333	108	8182	Histogram-592.csv
Measurement 14 - Feature 592	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.088843	1.425635	0.549309	0.227273	0.545455	61	130	108.046512	108	4646	Histogram-593.csv
Measurement 14 - Feature 593	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.154959	2.121712	0.432566	0.318182	0.909091	47	131	101.92	107	7644	Histogram-594.csv
Measurement 14 - Feature 594	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.239669	2.52072	0.473994	0.727273	0.681818	40	134	110.844828	109	12858	Histogram-595.csv
Measurement 14 - Feature 595	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.202479	2.513868	0.40263	0.909091	0.727273	40	117	88.959184	98	8718	Histogram-596.csv
Measurement 14 - Feature 596	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.14876	2.132741	0.41098	0.863636	0.409091	56	119	103.458333	105	7449	Histogram-597.csv
Measurement 14 - Feature 597	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.192149	3.092801	0.252431	0.454545	1.318182	57	110	95.11828	98	8846	Histogram-598.csv
Measurement 14 - Feature 598	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.109504	1.410037	0.692117	0.272727	0.545455	69	123	103.113208	106	5465	Histogram-599.csv
Measurement 14 - Feature 599	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.113636	1.549631	0.594663	0.409091	0.545455	73	131	107.854545	108	5932	Histogram-600.csv
Measurement 14 - Feature 600	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	2.39444	0.312468	0.272727	1.045455	48	127	104.971014	106	7243	Histogram-601.csv
Measurement 14 - Feature 601	2021-01-05T17:40:09-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.169421	1.844417	0.625836	0.636364	0.545455	70	133	106.45122	107	8729	Histogram-602.csv
