Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 15	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	492	61.632231	973.733741	0.000817	33.090909	276.454545	40	134	104.730506	107	3124111	Histogram-1.csv
Measurement 15 - Feature 1	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.105372	1.547347	0.553044	0.454545	0.545455	86	107	100.294118	103	5115	Histogram-2.csv
Measurement 15 - Feature 2	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.202479	3.083665	0.267582	1	0.636364	54	107	91.897959	97	9006	Histogram-3.csv
Measurement 15 - Feature 3	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.099174	1.461006	0.58385	0.590909	0.272727	96	109	104.041667	105	4994	Histogram-4.csv
Measurement 15 - Feature 4	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.045455	0.826927	0.83532	0.272727	0.227273	87	107	99.181818	101	2182	Histogram-5.csv
Measurement 15 - Feature 5	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.326446	3.861906	0.275054	1.136364	0.909091	42	106	86.835443	92	13720	Histogram-6.csv
Measurement 15 - Feature 6	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.165289	2.163545	0.443734	0.681818	0.772727	62	107	92.8875	95	7431	Histogram-7.csv
Measurement 15 - Feature 7	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.086777	1.365529	0.584806	0.5	0.409091	107	129	112	109	4704	Histogram-8.csv
Measurement 15 - Feature 8	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.115702	1.782418	0.45765	0.409091	0.681818	105	123	108.875	107	6097	Histogram-9.csv
Measurement 15 - Feature 9	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.134298	2.004177	0.420152	0.727273	0.409091	106	130	111.415385	108	7242	Histogram-10.csv
Measurement 15 - Feature 10	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	2.188279	0.330742	0.227273	0.954545	76	125	102.180328	105	6233	Histogram-11.csv
Measurement 15 - Feature 11	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.144628	1.972981	0.466892	0.590909	0.681818	75	107	99.557143	102	6969	Histogram-12.csv
Measurement 15 - Feature 12	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	2.199308	0.338168	0.909091	0.318182	71	106	96.333333	99	6069	Histogram-13.csv
Measurement 15 - Feature 13	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	1.033087	0.681159	0.318182	0.318182	103	119	107.321429	106	3005	Histogram-14.csv
Measurement 15 - Feature 14	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.092975	1.412321	0.585747	0.590909	0.181818	91	111	103.444444	104	4655	Histogram-15.csv
Measurement 15 - Feature 15	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.113636	1.682764	0.50429	0.227273	0.727273	67	114	100.636364	103	5535	Histogram-16.csv
Measurement 15 - Feature 16	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.194215	1.664883	0.880491	0.545455	0.5	75	116	103.170213	106	9698	Histogram-17.csv
Measurement 15 - Feature 17	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.121901	1.758076	0.495611	0.363636	0.681818	79	106	97.966102	99	5780	Histogram-18.csv
Measurement 15 - Feature 18	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	1.771389	0.521287	0.318182	0.727273	67	109	100.269841	104	6317	Histogram-19.csv
Measurement 15 - Feature 19	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.109504	1.562944	0.563318	0.636364	0.318182	48	106	94.528302	96	5010	Histogram-20.csv
Measurement 15 - Feature 20	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.103306	1.864583	0.373397	0.681818	0.363636	74	109	101.8	103	5090	Histogram-21.csv
Measurement 15 - Feature 21	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.154959	2.128173	0.429944	0.681818	0.681818	76	107	97.106667	99	7283	Histogram-22.csv
Measurement 15 - Feature 22	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.157025	2.77785	0.255718	0.727273	0.818182	97	130	109.210526	108	8300	Histogram-23.csv
Measurement 15 - Feature 23	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	2.119428	0.398819	0.636364	0.636364	101	131	108.782609	107	7506	Histogram-24.csv
Measurement 15 - Feature 24	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.188017	2.926581	0.275858	0.727273	0.909091	47	118	95.318681	100	8674	Histogram-25.csv
Measurement 15 - Feature 25	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.13843	2.338902	0.317991	0.818182	0.590909	65	112	97.268657	102	6517	Histogram-26.csv
Measurement 15 - Feature 26	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	1.726881	0.548505	0.545455	0.590909	80	106	98.52381	100	6207	Histogram-27.csv
Measurement 15 - Feature 27	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.070248	1.150623	0.666772	0.318182	0.363636	107	131	113.882353	110	3872	Histogram-28.csv
Measurement 15 - Feature 28	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.086777	1.39444	0.560808	0.5	0.363636	86	117	107.214286	107	4503	Histogram-29.csv
Measurement 15 - Feature 29	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.07438	1.201592	0.64737	0.454545	0.272727	69	124	102.611111	104	3694	Histogram-30.csv
Measurement 15 - Feature 30	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.055785	0.955492	0.767847	0.318182	0.272727	91	107	103	104	2781	Histogram-31.csv
Measurement 15 - Feature 31	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.150826	2.489525	0.305812	0.727273	0.863636	68	107	96.082192	98	7014	Histogram-32.csv
Measurement 15 - Feature 32	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	1.019774	0.69906	0.272727	0.363636	102	118	108.321429	107	3033	Histogram-33.csv
Measurement 15 - Feature 33	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.090909	1.418782	0.567526	0.454545	0.454545	107	125	111.477273	109	4905	Histogram-34.csv
Measurement 15 - Feature 34	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.11157	1.702538	0.483687	0.636364	0.454545	107	130	112.814815	109	6092	Histogram-35.csv
Measurement 15 - Feature 35	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	1.749331	0.441188	0.681818	0.227273	107	134	112.057692	110	5827	Histogram-36.csv
Measurement 15 - Feature 36	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.119835	1.988579	0.380809	0.636364	0.590909	79	123	102.775862	103	5961	Histogram-37.csv
Measurement 15 - Feature 37	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.119835	1.782418	0.473994	0.409091	0.681818	94	113	105.344828	106	6110	Histogram-38.csv
Measurement 15 - Feature 38	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.152893	2.65803	0.271942	0.818182	0.772727	72	110	100.283784	103	7421	Histogram-39.csv
Measurement 15 - Feature 39	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.072314	1.230503	0.60016	0.5	0.181818	65	105	89.571429	95	3135	Histogram-40.csv
Measurement 15 - Feature 40	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.196281	3.101546	0.256408	1.136364	0.727273	45	105	89.894737	93	8540	Histogram-41.csv
Measurement 15 - Feature 41	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	1.950923	0.470688	0.772727	0.409091	49	107	87.362319	91	6028	Histogram-42.csv
Measurement 15 - Feature 42	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.235537	2.893101	0.353624	0.636364	1.136364	47	106	86.622807	92	9875	Histogram-43.csv
Measurement 15 - Feature 43	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.103306	1.84024	0.383341	0.272727	0.727273	72	106	93.94	95	4697	Histogram-44.csv
Measurement 15 - Feature 44	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.161157	2.108399	0.455568	0.409091	0.818182	42	108	85.153846	88	6642	Histogram-45.csv
Measurement 15 - Feature 45	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.099174	1.42335	0.615152	0.636364	0.181818	43	105	85.520833	86	4105	Histogram-46.csv
Measurement 15 - Feature 46	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.134298	1.820074	0.509448	0.681818	0.409091	56	106	91.276923	95	5933	Histogram-47.csv
Measurement 15 - Feature 47	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.146694	2.019774	0.451874	0.818182	0.318182	42	107	88.873239	95	6310	Histogram-48.csv
Measurement 15 - Feature 48	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.136364	2.05743	0.404817	0.590909	0.590909	43	106	82.181818	88	5424	Histogram-49.csv
Measurement 15 - Feature 49	2021-01-05T17:41:10-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.097107	1.449977	0.580417	0.545455	0.272727	54	106	92.382979	93	4342	Histogram-50.csv
