Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 17	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	137	18.634298	241.017657	0.004031	44.818182	235.681818	47	134	105.813837	106	954335	Histogram-1.csv
Measurement 17 - Feature 1	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.252066	2.469751	0.5193	0.454545	0.909091	85	119	102.860656	104	12549	Histogram-2.csv
Measurement 17 - Feature 2	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.016529	0.476604	0.914407	0.181818	0.136364	107	121	112.5	111	900	Histogram-3.csv
Measurement 17 - Feature 3	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.204545	3.451869	0.21572	1.409091	0.545455	107	132	112.373737	110	11125	Histogram-4.csv
Measurement 17 - Feature 4	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.173554	2.868759	0.265006	1.136364	0.590909	77	128	106.666667	107	8960	Histogram-5.csv
Measurement 17 - Feature 5	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.10124	1.461006	0.596014	0.590909	0.272727	76	122	106.183673	106	5203	Histogram-6.csv
Measurement 17 - Feature 6	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.099174	1.447693	0.594638	0.318182	0.545455	80	107	99.416667	102	4772	Histogram-7.csv
Measurement 17 - Feature 7	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.043388	0.749331	0.971038	0.227273	0.227273	103	118	108.952381	107	2288	Histogram-8.csv
Measurement 17 - Feature 8	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.06405	1.059714	0.716719	0.272727	0.363636	47	128	99.129032	105	3073	Histogram-9.csv
Measurement 17 - Feature 9	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	0.8003	0.810753	0.227273	0.272727	102	131	111.85	109	2237	Histogram-10.csv
Measurement 17 - Feature 10	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.264463	3.884357	0.22026	0.318182	1.772727	107	133	111.664062	109	14293	Histogram-11.csv
Measurement 17 - Feature 11	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.024793	0.620766	0.808518	0.181818	0.181818	104	127	109.5	106	1314	Histogram-12.csv
Measurement 17 - Feature 12	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.068182	1.913267	0.23406	0.545455	0.590909	102	129	108.484848	107	3580	Histogram-13.csv
Measurement 17 - Feature 13	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.181818	2.580826	0.343028	0.227273	1.136364	89	134	109.727273	107	9656	Histogram-14.csv
Measurement 17 - Feature 14	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.196281	2.523004	0.387483	0.318182	1.045455	98	134	109.378947	107	10391	Histogram-15.csv
Measurement 17 - Feature 15	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.020661	0.698362	0.532358	0.181818	0.227273	107	127	113.5	109	1135	Histogram-16.csv
Measurement 17 - Feature 16	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.03719	0.8003	0.729678	0.227273	0.272727	105	124	110.333333	108	1986	Histogram-17.csv
Measurement 17 - Feature 17	2021-01-05T17:42:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.053719	0.942178	0.760452	0.363636	0.227273	92	125	107.269231	108	2789	Histogram-18.csv
