Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 11 - Feature 477	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		1.634298	8.850485	0.262184	2.136364	1.818182	25	153	104.839444	106	82928	Histogram-478.csv
Measurement 11 - Feature 478	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.716942	4.784311	0.3936	1.409091	0.954545	24	154	101.697406	106	35289	Histogram-479.csv
Measurement 11 - Feature 479	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.570248	3.267767	0.671076	0.863636	1.136364	75	153	108.938406	107	30067	Histogram-480.csv
Measurement 11 - Feature 480	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.964876	4.088233	0.725454	1.5	0.863636	38	153	107.372591	107	50143	Histogram-481.csv
Measurement 11 - Feature 481	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.144628	1.396724	0.931626	0.409091	0.409091	47	154	101.985714	106	7139	Histogram-482.csv
Measurement 11 - Feature 482	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		4.061983	17.436988	0.167882	2.363636	4.045455	20	172	101.466429	107	199483	Histogram-483.csv
Measurement 11 - Feature 483	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.256198	1.913267	0.879498	0.590909	0.545455	88	172	115.491935	109	14321	Histogram-484.csv
Measurement 11 - Feature 484	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	1.385695	0.851863	0.409091	0.363636	90	185	120.412698	109	7586	Histogram-485.csv
Measurement 11 - Feature 485	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.119835	1.308099	0.880058	0.318182	0.409091	37	136	104.551724	107	6064	Histogram-486.csv
Measurement 11 - Feature 486	2021-01-05T17:35:59-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.14876	1.42335	0.922727	0.454545	0.363636	76	186	118.680556	111	8545	Histogram-487.csv
