Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 10 - Feature 245	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.603306	7.362853	0.139848	3.272727	0.954545	66	120	101.393836	104	29607	Histogram-246.csv
Measurement 10 - Feature 246	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.266529	3.562552	0.263895	1.409091	0.818182	76	129	102.674419	105	13245	Histogram-247.csv
Measurement 10 - Feature 247	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		1.020661	12.767537	0.078682	4.545455	3.136364	57	130	104.087045	106	51419	Histogram-248.csv
Measurement 10 - Feature 248	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.090909	1.514259	0.498215	0.181818	0.636364	93	126	108.295455	108	4765	Histogram-249.csv
Measurement 10 - Feature 249	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.090909	1.135026	0.88676	0.363636	0.363636	82	125	106.090909	106	4668	Histogram-250.csv
Measurement 10 - Feature 250	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.183884	1.975266	0.592248	0.5	0.727273	82	133	108.842697	107	9687	Histogram-251.csv
Measurement 10 - Feature 251	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.049587	0.933433	0.71517	0.181818	0.318182	74	123	101.791667	103	2443	Histogram-252.csv
Measurement 10 - Feature 252	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.154959	2.128173	0.429944	0.727273	0.636364	81	121	104.6	105	7845	Histogram-253.csv
Measurement 10 - Feature 253	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.188017	2.502838	0.377173	0.636364	0.954545	59	110	97.373626	102	8861	Histogram-254.csv
Measurement 10 - Feature 254	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.31405	4.006069	0.245907	1.636364	0.5	68	129	105.460526	106	16030	Histogram-255.csv
Measurement 10 - Feature 255	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	2.030803	0.434388	0.409091	0.772727	71	107	97.565217	99	6732	Histogram-256.csv
Measurement 10 - Feature 256	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.192149	2.638256	0.346907	0.454545	1.090909	61	113	100.473118	104	9344	Histogram-257.csv
Measurement 10 - Feature 257	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.154959	2.199308	0.402581	0.909091	0.363636	79	108	100.973333	103	7573	Histogram-258.csv
Measurement 10 - Feature 258	2021-01-05T17:33:28-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	2.037656	0.381446	0.863636	0.181818	74	132	103.245902	105	6298	Histogram-259.csv
