Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 16 - Feature 104	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.152893	1.837956	0.568756	0.318182	0.727273	50	127	103.027027	106	7624	Histogram-105.csv
Measurement 16 - Feature 105	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	0.813613	0.902103	0.227273	0.272727	107	130	112.521739	109	2588	Histogram-106.csv
Measurement 16 - Feature 106	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.078512	1.190563	0.696055	0.227273	0.454545	104	126	110.315789	108	4192	Histogram-107.csv
Measurement 16 - Feature 107	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.039256	0.76036	0.853256	0.272727	0.227273	103	122	107.105263	105	2035	Histogram-108.csv
Measurement 16 - Feature 108	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	0.917836	0.862964	0.272727	0.272727	82	107	101.285714	104	2836	Histogram-109.csv
Measurement 16 - Feature 109	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.13843	1.820074	0.525123	0.590909	0.545455	91	130	107.298507	107	7189	Histogram-110.csv
Measurement 16 - Feature 110	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.068182	1.061998	0.75968	0.409091	0.181818	83	106	101.030303	103	3334	Histogram-111.csv
Measurement 16 - Feature 111	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.02686	0.607453	0.914709	0.181818	0.181818	84	122	103.461538	104	1345	Histogram-112.csv
Measurement 16 - Feature 112	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.061983	0.982118	0.807529	0.272727	0.318182	91	132	108.966667	107	3269	Histogram-113.csv
Measurement 16 - Feature 113	2021-01-05T17:42:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.057851	0.997716	0.730313	0.318182	0.227273	105	117	107.25	106	3003	Histogram-114.csv
