Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 13	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	71	8.35124	116.870964	0.007683	81.409091	77.181818	46	134	103.196932	106	417122	Histogram-1.csv
Measurement 13 - Feature 1	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.359504	4.349539	0.238796	1	1.727273	46	107	91.764368	98	15967	Histogram-2.csv
Measurement 13 - Feature 2	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.316116	3.784703	0.277327	1.727273	0.318182	47	107	90.771242	96	13888	Histogram-3.csv
Measurement 13 - Feature 3	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.059917	0.971089	0.798444	0.181818	0.363636	77	107	99.206897	102	2877	Histogram-4.csv
Measurement 13 - Feature 4	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.095041	1.163936	0.881584	0.318182	0.363636	93	110	103.434783	105	4758	Histogram-5.csv
Measurement 13 - Feature 5	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	1.979834	0.457042	0.318182	0.772727	71	111	100.391304	103	6927	Histogram-6.csv
Measurement 13 - Feature 6	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.128099	1.678196	0.571572	0.590909	0.454545	87	116	104.274194	105	6465	Histogram-7.csv
Measurement 13 - Feature 7	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.142562	1.913267	0.489398	0.772727	0.318182	98	130	111.304348	109	7680	Histogram-8.csv
Measurement 13 - Feature 8	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.030992	0.687333	0.824369	0.181818	0.181818	75	105	93.333333	93	1400	Histogram-9.csv
Measurement 13 - Feature 9	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.039256	0.775958	0.819298	0.227273	0.227273	83	107	100.421053	102	1908	Histogram-10.csv
Measurement 13 - Feature 10	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.076446	1.152907	0.722732	0.181818	0.454545	107	125	112.594595	110	4166	Histogram-11.csv
Measurement 13 - Feature 11	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.105372	1.472035	0.61108	0.409091	0.5	103	129	111.078431	108	5665	Histogram-12.csv
Measurement 13 - Feature 12	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.132231	1.536318	0.704016	0.409091	0.545455	62	108	95.890625	102	6137	Histogram-13.csv
Measurement 13 - Feature 13	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.150826	1.485349	0.859074	0.454545	0.454545	58	111	99.616438	101	7272	Histogram-14.csv
Measurement 13 - Feature 14	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.097107	1.436664	0.591224	0.318182	0.5	49	124	94.893617	102	4460	Histogram-15.csv
Measurement 13 - Feature 15	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.07438	1.199308	0.649839	0.409091	0.363636	47	111	98.138889	102	3533	Histogram-16.csv
Measurement 13 - Feature 16	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.082645	1.34347	0.575398	0.454545	0.318182	70	115	97.5	102	3900	Histogram-17.csv
Measurement 13 - Feature 17	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.10124	1.809045	0.388742	0.772727	0.318182	57	121	100.489796	103	4924	Histogram-18.csv
Measurement 13 - Feature 18	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	1.72042	0.552632	0.318182	0.681818	47	107	93.095238	98	5865	Histogram-19.csv
Measurement 13 - Feature 19	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	2.250277	0.312768	0.272727	0.954545	55	126	105.344262	106	6426	Histogram-20.csv
Measurement 13 - Feature 20	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.245868	2.631403	0.446207	0.954545	0.727273	78	107	99.815126	102	11878	Histogram-21.csv
Measurement 13 - Feature 21	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.076446	1.152907	0.722732	0.227273	0.409091	64	127	104.702703	108	3874	Histogram-22.csv
Measurement 13 - Feature 22	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.134298	1.782418	0.531201	0.454545	0.636364	106	126	110.923077	109	7210	Histogram-23.csv
Measurement 13 - Feature 23	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.117769	2.192455	0.307877	0.590909	0.818182	86	126	107.280702	106	6115	Histogram-24.csv
Measurement 13 - Feature 24	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.113636	1.39444	0.734392	0.454545	0.409091	74	129	104.818182	107	5765	Histogram-25.csv
Measurement 13 - Feature 25	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.105372	1.525289	0.569155	0.454545	0.454545	58	130	99.392157	104	5069	Histogram-26.csv
Measurement 13 - Feature 26	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.198347	2.587287	0.372346	0.818182	0.681818	46	114	95.28125	103	9147	Histogram-27.csv
Measurement 13 - Feature 27	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.086777	1.511975	0.477007	0.590909	0.318182	62	117	95.833333	101	4025	Histogram-28.csv
Measurement 13 - Feature 28	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.103306	1.846701	0.380664	0.454545	0.681818	66	107	94.96	97	4748	Histogram-29.csv
Measurement 13 - Feature 29	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.154959	2.148339	0.42191	0.727273	0.5	63	131	98.346667	102	7376	Histogram-30.csv
Measurement 13 - Feature 30	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	0.775958	0.733056	0.181818	0.272727	74	118	103.294118	105	1756	Histogram-31.csv
Measurement 13 - Feature 31	2021-01-05T17:39:21-06:00	composite	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.03719	0.789271	0.750213	0.136364	0.318182	88	106	100.944444	101	1817	Histogram-32.csv
