Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 20	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	388	82.871901	812.896917	0.001576	32.136364	238.909091	40	134	100.83802	104	4044613	Histogram-1.csv
Measurement 20 - Feature 1	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	1.46329	0.739662	0.5	0.318182	69	107	97.377049	100	5940	Histogram-2.csv
Measurement 20 - Feature 2	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.219008	2.316844	0.512716	1	0.318182	68	98	90.113208	93	9552	Histogram-3.csv
Measurement 20 - Feature 3	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.159091	1.664883	0.721254	0.590909	0.454545	65	106	93.272727	95	7182	Histogram-4.csv
Measurement 20 - Feature 4	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	0.96006	0.478869	0.090909	0.409091	107	108	107.058824	107	1820	Histogram-5.csv
Measurement 20 - Feature 5	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.13843	1.884357	0.489906	0.590909	0.5	74	111	102.134328	106	6843	Histogram-6.csv
Measurement 20 - Feature 6	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.233471	2.363244	0.525322	0.590909	0.863636	84	130	107.336283	107	12129	Histogram-7.csv
Measurement 20 - Feature 7	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.487603	3.73791	0.43855	1.227273	0.818182	65	118	103.567797	105	24442	Histogram-8.csv
Measurement 20 - Feature 8	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.103306	1.228219	0.860564	0.318182	0.409091	83	118	103.28	104	5164	Histogram-9.csv
Measurement 20 - Feature 9	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.109504	1.30353	0.809838	0.409091	0.409091	52	108	95.509434	99	5062	Histogram-10.csv
Measurement 20 - Feature 10	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.123967	1.536318	0.660015	0.5	0.454545	99	131	110.883333	108	6653	Histogram-11.csv
Measurement 20 - Feature 11	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.14876	1.511975	0.817726	0.5	0.409091	73	113	103.125	105	7425	Histogram-12.csv
Measurement 20 - Feature 12	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.25	2.001892	0.783914	0.727273	0.5	102	130	108.644628	107	13146	Histogram-13.csv
Measurement 20 - Feature 13	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.646694	5.041048	0.319792	1.636364	1.636364	67	130	103.29393	105	32331	Histogram-14.csv
Measurement 20 - Feature 14	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.157025	1.707107	0.677106	0.409091	0.545455	103	128	108.881579	107	8275	Histogram-15.csv
Measurement 20 - Feature 15	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.353306	2.746655	0.588508	0.863636	0.909091	103	133	110.315789	107	18864	Histogram-16.csv
Measurement 20 - Feature 16	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.214876	2.063891	0.633906	0.727273	0.590909	101	127	107.980769	107	11230	Histogram-17.csv
Measurement 20 - Feature 17	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.320248	3.276512	0.374863	1.136364	0.954545	62	119	103.929032	105	16109	Histogram-18.csv
Measurement 20 - Feature 18	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.481405	3.545063	0.481363	0.954545	0.909091	86	125	104.240343	105	24288	Histogram-19.csv
Measurement 20 - Feature 19	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.18595	1.860014	0.675421	0.681818	0.454545	92	120	104.933333	106	9444	Histogram-20.csv
Measurement 20 - Feature 20	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.357438	3.012921	0.494806	1.181818	0.590909	54	123	100.138728	103	17324	Histogram-21.csv
Measurement 20 - Feature 21	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.080579	1.13731	0.782837	0.409091	0.272727	83	106	97.923077	99	3819	Histogram-22.csv
Measurement 20 - Feature 22	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.192149	1.811329	0.735957	0.681818	0.363636	51	118	104.483871	107	9717	Histogram-23.csv
Measurement 20 - Feature 23	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.221074	2.392155	0.485478	0.909091	0.409091	70	114	102.635514	104	10982	Histogram-24.csv
Measurement 20 - Feature 24	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.280992	2.445409	0.590474	1.045455	0.318182	68	125	106.088235	107	14428	Histogram-25.csv
Measurement 20 - Feature 25	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.090909	1.123996	0.904247	0.363636	0.318182	95	115	104.272727	104	4588	Histogram-26.csv
Measurement 20 - Feature 26	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.407025	2.775566	0.663938	0.863636	0.772727	45	107	95.086294	99	18732	Histogram-27.csv
Measurement 20 - Feature 27	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.243802	2.212621	0.625795	0.818182	0.454545	107	132	112.322034	109	13254	Histogram-28.csv
Measurement 20 - Feature 28	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.103306	1.241532	0.842206	0.363636	0.363636	96	129	107.94	107	5397	Histogram-29.csv
Measurement 20 - Feature 29	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.078512	1.188279	0.698733	0.363636	0.363636	71	105	95.710526	97	3637	Histogram-30.csv
Measurement 20 - Feature 30	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.285124	2.39444	0.624936	0.409091	0.954545	78	113	102.963768	106	14209	Histogram-31.csv
Measurement 20 - Feature 31	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.239669	2.285649	0.576506	0.818182	0.590909	97	128	106.767241	106	12385	Histogram-32.csv
Measurement 20 - Feature 32	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.196281	2.103831	0.557271	0.636364	0.681818	105	132	110.589474	108	10506	Histogram-33.csv
Measurement 20 - Feature 33	2021-01-05T17:45:15-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.264463	2.72042	0.449058	0.318182	1.181818	102	133	109.703125	107	14042	Histogram-34.csv
