Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 21	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22	1502	272.394628	4414.754533	0.000176	36.909091	247.636364	41	135	102.749717	105	13546420	Histogram-1.csv
Measurement 21 - Feature 1	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	2.208053	0.324844	0.454545	0.863636	85	127	109.213115	108	6662	Histogram-2.csv
Measurement 21 - Feature 2	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.07438	1.396724	0.479122	0.227273	0.545455	82	109	101.972222	103	3671	Histogram-3.csv
Measurement 21 - Feature 3	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.024793	0.645109	0.748652	0.227273	0.181818	102	109	104.833333	104	1258	Histogram-4.csv
Measurement 21 - Feature 4	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.070248	1.3545	0.481156	0.454545	0.409091	94	116	104.647059	105	3558	Histogram-5.csv
Measurement 21 - Feature 5	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.200413	2.624943	0.365508	0.409091	1	64	107	97.28866	101	9437	Histogram-6.csv
Measurement 21 - Feature 6	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.10124	1.742478	0.419011	0.5	0.545455	52	114	96.183673	101	4713	Histogram-7.csv
Measurement 21 - Feature 7	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.192149	2.662598	0.340593	0.954545	0.636364	74	130	104.494624	106	9718	Histogram-8.csv
Measurement 21 - Feature 8	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.157025	2.633688	0.284479	0.5	1	63	130	99.276316	102	7545	Histogram-9.csv
Measurement 21 - Feature 9	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.297521	4.945963	0.152836	1.409091	0.954545	93	130	110.652778	109	15934	Histogram-10.csv
Measurement 21 - Feature 10	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.169421	2.893101	0.254361	0.454545	1.181818	81	126	107.597561	107	8823	Histogram-11.csv
Measurement 21 - Feature 11	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.21281	3.500554	0.218237	1	0.772727	96	129	109.563107	108	11285	Histogram-12.csv
Measurement 21 - Feature 12	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.095041	1.228219	0.791719	0.318182	0.409091	79	123	103.152174	105	4745	Histogram-13.csv
Measurement 21 - Feature 13	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.024793	0.607453	0.844347	0.136364	0.227273	94	112	101.25	100	1215	Histogram-14.csv
Measurement 21 - Feature 14	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.181818	3.063891	0.243389	0.909091	0.909091	88	108	101.738636	103	8953	Histogram-15.csv
Measurement 21 - Feature 15	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.260331	3.791163	0.227609	0.636364	1	42	107	88.738095	92	11181	Histogram-16.csv
Measurement 21 - Feature 16	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.14876	2.44084	0.313775	0.909091	0.590909	85	118	101.569444	104	7313	Histogram-17.csv
Measurement 21 - Feature 17	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.086777	1.56066	0.44771	0.545455	0.409091	70	123	101.857143	104	4278	Histogram-18.csv
Measurement 21 - Feature 18	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.433884	4.16126	0.314872	0.772727	1.545455	43	117	98.3	103	20643	Histogram-19.csv
Measurement 21 - Feature 19	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.369835	5.484957	0.15448	1.363636	0.818182	74	130	104.547486	106	18714	Histogram-20.csv
Measurement 21 - Feature 20	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.171488	2.831103	0.268863	0.454545	1.136364	74	121	100.903614	103	8375	Histogram-21.csv
Measurement 21 - Feature 21	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.07438	1.52072	0.404174	0.590909	0.409091	99	125	108.027778	106	3889	Histogram-22.csv
Measurement 21 - Feature 22	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.231405	3.615806	0.222419	0.954545	1	68	107	96.660714	100	10826	Histogram-23.csv
Measurement 21 - Feature 23	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.105372	1.97755	0.338594	0.772727	0.272727	106	126	110.627451	108	5642	Histogram-24.csv
Measurement 21 - Feature 24	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.198347	3.500554	0.203405	1.090909	0.818182	93	128	110.729167	108	10630	Histogram-25.csv
Measurement 21 - Feature 25	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.126033	2.052861	0.375816	0.545455	0.727273	69	117	100.295082	103	6118	Histogram-26.csv
Measurement 21 - Feature 26	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.119835	1.950923	0.395651	0.772727	0.409091	73	116	97.724138	101	5668	Histogram-27.csv
Measurement 21 - Feature 27	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.132231	2.323304	0.307845	0.363636	0.954545	86	119	103.3125	105	6612	Histogram-28.csv
Measurement 21 - Feature 28	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.13843	2.270051	0.337573	0.818182	0.636364	62	107	95.029851	99	6367	Histogram-29.csv
Measurement 21 - Feature 29	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.198347	3.352215	0.221805	0.727273	1.090909	61	133	102.9375	105	9882	Histogram-30.csv
Measurement 21 - Feature 30	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.128099	2.159368	0.345225	0.727273	0.545455	77	108	100.709677	103	6244	Histogram-31.csv
Measurement 21 - Feature 31	2021-01-05T17:45:55-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.146694	2.56066	0.281138	1	0.363636	83	114	104.309859	105	7406	Histogram-32.csv
