Label	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
Measurement 7 - Feature 26	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.090909	1.405469	0.578329	0.454545	0.454545	107	108	107.113636	107	4713	Histogram-27.csv
Measurement 7 - Feature 27	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	0.866867	0.794672	0.227273	0.272727	107	108	107.086957	107	2463	Histogram-28.csv
Measurement 7 - Feature 28	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.008264	0.363636	0.785398	0.090909	0.090909	107	107	107	107	428	Histogram-29.csv
Measurement 7 - Feature 29	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.053719	1.17725	0.48708	0.181818	0.409091	107	108	107.192308	107	2787	Histogram-30.csv
Measurement 7 - Feature 30	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.010331	0.438948	0.673765	0.136364	0.136364	107	108	107.2	107	536	Histogram-31.csv
Measurement 7 - Feature 31	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.018595	0.569797	0.719725	0.181818	0.136364	107	107	107	107	963	Histogram-32.csv
Measurement 7 - Feature 32	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.041322	1.033087	0.486542	0.272727	0.363636	107	108	107.1	107	2142	Histogram-33.csv
Measurement 7 - Feature 33	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.008264	0.363636	0.785398	0.090909	0.090909	107	107	107	107	428	Histogram-34.csv
Measurement 7 - Feature 34	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.028926	0.724989	0.691561	0.181818	0.227273	107	108	107.214286	107	1501	Histogram-35.csv
Measurement 7 - Feature 35	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.014463	0.465575	0.838463	0.136364	0.136364	107	107	107	107	749	Histogram-36.csv
Measurement 7 - Feature 36	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.030992	0.855838	0.531708	0.136364	0.318182	107	108	107.066667	107	1606	Histogram-37.csv
Measurement 7 - Feature 37	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.020661	0.594139	0.735509	0.181818	0.181818	107	108	107.4	107	1074	Histogram-38.csv
Measurement 7 - Feature 38	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.157025	2.298962	0.373349	0.5	0.909091	107	108	107.105263	107	8140	Histogram-39.csv
Measurement 7 - Feature 39	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.045455	0.866867	0.760121	0.272727	0.227273	107	108	107.045455	107	2355	Histogram-40.csv
Measurement 7 - Feature 40	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	0.866867	0.794672	0.272727	0.227273	107	108	107.173913	107	2465	Histogram-41.csv
Measurement 7 - Feature 41	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.198347	1.990863	0.628858	0.727273	0.454545	107	108	107.0625	107	10278	Histogram-42.csv
Measurement 7 - Feature 42	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.070248	1.088625	0.744881	0.363636	0.227273	107	108	107.147059	107	3643	Histogram-43.csv
Measurement 7 - Feature 43	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.107438	2.374274	0.2395	0.636364	0.863636	107	108	107.057692	107	5567	Histogram-44.csv
Measurement 7 - Feature 44	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.039256	0.802584	0.765838	0.181818	0.272727	107	108	107.210526	107	2037	Histogram-45.csv
Measurement 7 - Feature 45	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.03719	0.736018	0.862702	0.227273	0.227273	107	108	107.111111	107	1928	Histogram-46.csv
Measurement 7 - Feature 46	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.053719	0.955492	0.739408	0.272727	0.318182	107	108	107.038462	107	2783	Histogram-47.csv
Measurement 7 - Feature 47	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.035124	1.008745	0.433761	0.363636	0.227273	107	108	107.176471	107	1822	Histogram-48.csv
Measurement 7 - Feature 48	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.43595	5.799908	0.162856	0.954545	2.272727	107	108	107.113744	107	22601	Histogram-49.csv
Measurement 7 - Feature 49	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.196281	2.762252	0.323267	0.727273	1	107	108	107.221053	107	10186	Histogram-50.csv
Measurement 7 - Feature 50	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.068182	1.190563	0.604468	0.272727	0.409091	107	108	107.121212	107	3535	Histogram-51.csv
Measurement 7 - Feature 51	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.086777	1.871043	0.311491	0.545455	0.636364	107	108	107.119048	107	4499	Histogram-52.csv
Measurement 7 - Feature 52	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.07438	1.678196	0.33188	0.545455	0.5	107	108	107.111111	107	3856	Histogram-53.csv
Measurement 7 - Feature 53	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	1.988579	0.413637	0.681818	0.545455	107	108	107.111111	107	6748	Histogram-54.csv
Measurement 7 - Feature 54	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.047521	1.190563	0.421296	0.227273	0.454545	107	108	107.086957	107	2463	Histogram-55.csv
Measurement 7 - Feature 55	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.136364	1.955492	0.448122	0.318182	0.772727	107	108	107.151515	107	7072	Histogram-56.csv
Measurement 7 - Feature 56	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.02686	0.700646	0.68756	0.181818	0.181818	107	108	107.230769	107	1394	Histogram-57.csv
Measurement 7 - Feature 57	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.008264	0.363636	0.785398	0.090909	0.090909	107	108	107.25	107	429	Histogram-58.csv
Measurement 7 - Feature 58	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.130165	1.707107	0.561285	0.363636	0.636364	107	108	107.079365	107	6746	Histogram-59.csv
Measurement 7 - Feature 59	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.028926	0.855838	0.496261	0.136364	0.318182	107	108	107.071429	107	1499	Histogram-60.csv
Measurement 7 - Feature 60	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.010331	0.414605	0.755204	0.090909	0.136364	107	108	107.2	107	536	Histogram-61.csv
Measurement 7 - Feature 61	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.192149	2.642432	0.345812	0.909091	0.818182	107	108	107.075269	107	9958	Histogram-62.csv
Measurement 7 - Feature 62	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.059917	1.046401	0.687648	0.272727	0.363636	107	108	107.034483	107	3104	Histogram-63.csv
Measurement 7 - Feature 63	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.033058	0.893493	0.520357	0.181818	0.318182	107	108	107.0625	107	1713	Histogram-64.csv
Measurement 7 - Feature 64	2021-01-05T17:10:45-06:00	composite.tif	Selection	Custom (22 pixel(s) = 1.0000 microns)	microns	22		0.136364	2.055146	0.405717	0.454545	0.772727	107	108	107.090909	107	7068	Histogram-65.csv
