coupon_id	Area	Perimeter	Circularity	Height	Width	type	filament	cocci	rod	site	substrate
D1T10cont	0.572314	5.63558	0.226447	1.409091	1.954545	cell	0	0	1	D1	sand
D1T10cont	0.123967	1.576258	0.626991	0.363636	0.590909	cell	0	0	1	D1	sand
D1T10cont	0.615702	4.810937	0.334288	0.772727	1.954545	cell	0	0	1	D1	sand
D1T10cont	0.427686	4.61809	0.252006	0.681818	2	cell	0	0	1	D1	sand
D1T10cont	0.192149	2.247993	0.477813	0.454545	0.909091	cell	0	0	1	D1	sand
D1T10cont	0.144628	1.709391	0.621985	0.727273	0.227273	cell	0	0	1	D1	sand
D1T10cont	0.227273	2.645109	0.408197	1.181818	0.227273	cell	0	0	1	D1	sand
D1T10cont	0.080579	1.13731	0.782837	0.363636	0.318182	cell	0	1	0	D1	sand
D1T10cont	0.404959	4.110683	0.301157	1.909091	0.272727	cell	0	0	1	D1	sand
D1T10cont	0.328512	3.520328	0.333116	1.090909	1.181818	cell	0	0	1	D1	sand
D1T10cont	0.219008	2.593748	0.409086	1	0.636364	cell	0	0	1	D1	sand
D1T10cont	0.280992	3.179142	0.349368	0.636364	1.272727	cell	0	0	1	D1	sand
D1T10cont	0.495868	4.179142	0.356781	1.818182	0.590909	cell	0	0	1	D1	sand
D1T10cont	0.382231	2.942178	0.554879	0.363636	1.227273	cell	0	0	1	D1	sand
D1T10cont	1.210744	5.387195	0.524248	1.818182	1.363636	cell	0	0	1	D1	sand
D1T10cont	0.049587	0.909091	0.753982	0.181818	0.272727	cell	0	1	0	D1	sand
D1T10cont	0.072314	1.008745	0.893038	0.318182	0.272727	cell	0	1	0	D1	sand
D1T10cont	0.219008	2.367813	0.49088	0.954545	0.409091	cell	0	0	1	D1	sand
D1T10cont	0.103306	1.3545	0.707582	0.409091	0.454545	cell	0	1	0	D1	sand
D1T10cont	0.297521	3.303139	0.342668	0.863636	1.227273	cell	0	0	1	D1	sand
D1T10cont	0.21281	2.469751	0.438425	1	0.454545	cell	0	0	1	D1	sand
D1T10cont	0.161157	1.842132	0.596784	0.590909	0.636364	cell	0	0	1	D1	sand
D1T10cont	0.272727	3.088233	0.359351	0.636364	1.227273	cell	0	0	1	D1	sand
D1T10cont	0.231405	1.988579	0.735355	0.681818	0.545455	cell	0	1	0	D1	sand
D1T10cont	0.659091	4.294394	0.449109	0.863636	1.5	cell	0	0	1	D1	sand
D1T10cont	0.047521	0.88018	0.770813	0.272727	0.227273	cell	0	1	0	D1	sand
D1T10cont	0.795455	4.478496	0.49838	1.909091	0.636364	cell	0	0	1	D1	sand
D1T10cont	0.72314	5.593748	0.29042	1.727273	1.136364	cell	0	0	1	D1	sand
D1T10cont	0.481405	3.117144	0.622597	0.590909	1.227273	cell	0	0	1	D1	sand
D1T10cont	0.134298	1.576258	0.67924	0.409091	0.545455	cell	0	0	1	D1	sand
D1T10cont	0.200413	2.197024	0.521755	0.863636	0.454545	cell	0	0	1	D1	sand
D1T10cont	0.216942	2.500946	0.435858	0.227273	1.090909	cell	0	0	1	D1	sand
D1T10cont	0.159091	1.627227	0.755021	0.454545	0.545455	cell	0	1	0	D1	sand
D1T10cont	0.088843	1.150623	0.84327	0.272727	0.409091	cell	0	1	0	D1	sand
D1T10cont	0.642562	5.245317	0.293482	2.181818	0.954545	cell	0	0	1	D1	sand
D1T10cont	0.927686	4.048293	0.711323	1.545455	0.818182	cell	0	1	0	D1	sand
D1T10cont	0.206612	2.416498	0.444623	0.954545	0.5	cell	0	0	1	D1	sand
D1T10cont	0.128099	1.421066	0.797127	0.363636	0.5	cell	0	1	0	D1	sand
D1T10cont	0.25	2.669451	0.440865	1.181818	0.272727	cell	0	0	1	D1	sand
D1T10cont	0.274793	1.990863	0.871231	0.5	0.681818	cell	0	1	0	D1	sand
D1T10cont	0.132231	1.594139	0.653871	0.227273	0.636364	cell	0	0	1	D1	sand
D1T10cont	0.107438	1.447693	0.644192	0.318182	0.545455	cell	0	0	1	D1	sand
D1T10cont	0.035124	0.751615	0.781308	0.181818	0.227273	cell	0	1	0	D1	sand
D1T10cont	0.200413	1.862298	0.726169	0.727273	0.363636	cell	0	1	0	D1	sand
D1T10cont	0.13843	1.458722	0.817512	0.5	0.409091	cell	0	1	0	D1	sand
D1T10cont	0.359504	3.88168	0.299829	1.363636	1.136364	cell	0	0	1	D1	sand
D1T10cont	0.297521	3.196632	0.365883	1.090909	1	cell	0	0	1	D1	sand
D1T10cont	0.22314	2.26359	0.547259	0.818182	0.5	cell	0	0	1	D1	sand
D1T10cont	1.52686	13.826859	0.10036	1.636364	5.590909	cell	0	0	1	D1	sand
D1T10cont	0.506198	4.757292	0.281068	1.318182	1.772727	cell	0	0	1	D1	sand
D1T10cont	0.200413	2.190563	0.524837	0.318182	0.863636	cell	0	0	1	D1	sand
D1T10cont	0.415289	4.077204	0.313932	0.545455	1.772727	cell	0	0	1	D1	sand
D1T10cont	0.080579	1.201592	0.701318	0.272727	0.454545	cell	0	1	0	D1	sand
D1T10cont	0.599174	5.141094	0.284873	1	1.545455	cell	0	0	1	D1	sand
D1T10cont	0.407025	3.809045	0.352532	0.409091	1.681818	cell	0	0	1	D1	sand
D1T10cont	0.617769	5.828427	0.228525	2.409091	1.090909	cell	0	0	1	D1	sand
D1T10cont	0.150826	1.769105	0.605592	0.636364	0.454545	cell	0	0	1	D1	sand
D1T10cont	0.487603	4.717744	0.275301	1.909091	0.909091	cell	0	0	1	D1	sand
D1T10cont	0.283058	2.899562	0.423078	0.863636	1.045455	cell	0	0	1	D1	sand
D1T10cont	1.157025	9.778958	0.152043	2	2.727273	cell	0	0	1	D1	sand
D1T10cont	0.460744	4.380734	0.3017	1.681818	0.954545	cell	0	0	1	D1	sand
D1T10cont	0.146694	1.540886	0.776393	0.318182	0.545455	cell	0	1	0	D1	sand
D1T10cont	0.07438	1.006461	0.922727	0.318182	0.318182	cell	0	1	0	D1	sand
D1T10cont	0.349174	3.460614	0.366391	0.954545	1.181818	cell	0	0	1	D1	sand
D1T10cont	0.243802	2.483064	0.496902	0.363636	1.045455	cell	0	0	1	D1	sand
D1T10cont	0.270661	2.780134	0.440052	0.545455	1.090909	cell	0	0	1	D1	sand
D1T10cont	0.357438	2.85773	0.550007	1.090909	0.590909	cell	0	0	1	D1	sand
D1T10cont	0.487603	4.638256	0.284818	2.090909	0.454545	cell	0	0	1	D1	sand
D1T10cont	0.22314	2.416498	0.480193	0.954545	0.5	cell	0	0	1	D1	sand
D1T10cont	0.766529	7.014422	0.195774	2.863636	1.409091	cell	0	0	1	D1	sand
D1T10cont	1.369835	12.046725	0.118615	2.863636	2.727273	cell	0	0	1	D1	sand
D1T10cont	0.741736	7.052469	0.187403	1	3.045455	cell	0	0	1	D1	sand
D1T10cont	0.392562	3.904131	0.323645	1.454545	0.818182	cell	0	0	1	D1	sand
D1T10cont	0.373967	3.71546	0.340422	0.954545	1.409091	cell	0	0	1	D1	sand
D1T10cont	0.088843	1.161652	0.827334	0.409091	0.318182	cell	0	1	0	D1	sand
D1T10cont	0.725207	6.894994	0.191692	2.909091	0.909091	cell	0	0	1	D1	sand
D1T10cont	0.357438	3.593748	0.347789	0.636364	1.5	cell	0	0	1	D1	sand
D1T10cont	0.61157	6.078704	0.207986	1.863636	1.727273	cell	0	0	1	D1	sand
D1T10cont	0.043388	0.749331	0.971038	0.227273	0.227273	cell	0	1	0	D1	sand
D1T10cont	0.262397	2.711283	0.448558	0.681818	1	cell	0	0	1	D1	sand
D1T10cont	0.72314	6.710499	0.201801	2.409091	1.818182	cell	0	0	1	D1	sand
D1T10cont	0.088843	1.239248	0.72697	0.318182	0.454545	cell	0	1	0	D1	sand
D1T10cont	0.161157	1.809045	0.618814	0.681818	0.409091	cell	0	0	1	D1	sand
D1T10cont	0.646694	6.254062	0.207771	2.590909	1.181818	cell	0	0	1	D1	sand
D1T10cont	0.202479	2.152515	0.549159	0.727273	0.681818	cell	0	0	1	D1	sand
D1T10cont	0.477273	4.588787	0.284827	1.727273	1.272727	cell	0	0	1	D1	sand
D1T10cont	0.514463	4.609345	0.304288	2.045455	0.545455	cell	0	0	1	D1	sand
D1T10cont	0.522727	5.123605	0.250227	0.727273	2.227273	cell	0	0	1	D1	sand
D1T10cont	0.353306	3.413822	0.38096	1.136364	1.136364	cell	0	0	1	D1	sand
D1T10cont	0.241736	2.527181	0.475639	0.909091	0.727273	cell	0	0	1	D1	sand
D1T10cont	0.245868	2.587287	0.461554	0.409091	1.090909	cell	0	0	1	D1	sand
D1T10cont	0.247934	2.580434	0.467908	0.909091	0.727273	cell	0	0	1	D1	sand
D1T10cont	0.528926	4.998824	0.265992	1.5	1.818182	cell	0	0	1	D1	sand
D1T10cont	0.706612	6.664491	0.19992	0.954545	2.863636	cell	0	0	1	D1	sand
D1T10cont	0.109504	1.38341	0.719016	0.272727	0.545455	cell	0	1	0	D1	sand
D1T10cont	1.22314	9.63708	0.165499	3.363636	1.636364	cell	0	0	1	D1	sand
D1T10cont	0.243802	2.538602	0.475398	1.090909	0.318182	cell	0	0	1	D1	sand
D1T10cont	0.247934	2.598316	0.46149	1	0.545455	cell	0	0	1	D1	sand
D1T10cont	0.272727	2.287933	0.654714	0.454545	0.772727	cell	0	0	1	D1	sand
D1T10cont	0.161157	1.773673	0.643742	0.272727	0.727273	cell	0	0	1	D1	sand
D1T10cont	0.179752	1.942178	0.598833	0.818182	0.272727	cell	0	0	1	D1	sand
