Sequence_ID	biosample_accession
0a987ed6ad41d961f1a7eeb3a7d3c836	SAMN12684770
0ad38dcfa71f383874bb4a6087a9a02d	SAMN12684770
0ad98ee88fc3760e607e528b755e0880	SAMN12684770
0ae9ea8fb8ee4f7b30dc760c99e2d246	SAMN12684770
0af46cd920d323125143a322bdda6af4	SAMN12684819
0af9a5a710cf390fef85807bfe2d0352	SAMN12684770
0aff7ad8b8bc0ad57927c5b5377c9152	SAMN12684770
0b5328e0905413d7c6c7719ab9fd677c	SAMN12684770
0b589d4bb5cb6688265955765b3a2c90	SAMN12684770
0b6d21d02198b167c8a1bf130b014f74	SAMN12684770
0b7a7d731865f65db8728d6a67925960	SAMN12684819
0ba112c9e7b2865e4347e57641422f68	SAMN12684770
0ba426702dc82aa0f08de529caa43e24	SAMN12684819
0baa91bb867b70e113f3a0e3daee4325	SAMN12684770
0bac9a6ef969fe26d05891c7b0fd8e19	SAMN12684819
0bc58dc83e4283414240b574da50769c	SAMN12684819
0bcc3401f81b12823655c0a4404fdd2c	SAMN12684770
0bea03e29fac21723ed7dd9fb9c0c52b	SAMN12684770
0bf1c7c33b0a132ec4b32b3fcf646d6a	SAMN12684770
0bfffde48e11d4e95159aa8e95ba99e8	SAMN12684770
0c0ed05d2fceb28300e46563d40d908b	SAMN12684819
0c1a5cfe0cf0390e90347b8d19fa0067	SAMN12684819
0c6ec1f212329deeeb3ea44689a8c521	SAMN12684770
0c6f175498421580950a103ad2b4250d	SAMN12684770
0c7eb0b3aae74aa55da3dbfe86e68489	SAMN12684770
0ca089b784c841dfe361f32587599ab0	SAMN12684770
0ceffec1d9646324a173c9a24afa6c16	SAMN12684770
0cf850b589a47efef251523b71b4824b	SAMN12684770
0d2b33947a71c6c1a4bef0058fefa5f1	SAMN12684770
0d2b6f04367568e75e211d38a135db8f	SAMN12684770
0d2dcadb0f2658c5c4ecd29af2a79c8b	SAMN12684770
0d343311241c490f77f18695fe659043	SAMN12684770
0d5a9fda3de51a3cc8d230d652beab65	SAMN12684770
0d7022cca604d712d584a20efd580485	SAMN12684819
0d783b0e4080884a988ca6b82538575e	SAMN12684770
0d8cfeb6ffbcd0c1bccf40fa9db29453	SAMN12684770
0d928a5b3789bc30297ac89a482b4cc2	SAMN12684770
0d99a8fefb9aa648f4aa02afce2d6204	SAMN12684770
0d9ebc181b1250a71156c18f67aac7d4	SAMN12684770
0dafc6e49476cc962c6a7c5ef956a9ae	SAMN12684770
0e07614cc552e40800771d59e2467437	SAMN12684770
0e1c362eda00a023101a66f4f2642b8f	SAMN12684770
0e23600d6a486da33868adb30f963262	SAMN12684770
0e2f78a937f9ead377347df6756ea3a5	SAMN12684770
0e3f106ac358b910b8175f9768eb11a1	SAMN12684770
0e6223133c1f51a0cc061c590ab23af7	SAMN12684770
0e9b2439ad2e64bfff4a8774dfcfbf18	SAMN12684770
0e9fe8163d23c0f69e35ca9f70c146ac	SAMN12684770
0ecf3dfb8db5075afa3e21c42252eae4	SAMN12684819
0f00e1bbaad7064a4298fb2701d42986	SAMN12684770
0f11885c0521a92bc67c5ecf7826f2f3	SAMN12684770
0f1b01c629436b96eb8c6e67a12aa066	SAMN12684770
0f1cb6175758e2fb5b8651d9c65a2984	SAMN12684770
0f357fac93f8fd1661991827b6f58342	SAMN12684770
0f63598c3bd0eedd15ca00561bbfa0b2	SAMN12684770
0f6e82c4723b173c9343106f540a4aeb	SAMN12684770
0f9ec181e66f35da540bfd5becaa7572	SAMN12684819
0fa1e43a8f7c4f723627c5139080e85f	SAMN12684770
0fc3109487b378b13a91a4323694e616	SAMN12684819
0fe090913a928c9ab2b56bd77f1e8cbd	SAMN12684770
0fe330b07c31eda2a95f4b21f3e3234a	SAMN12684819
0ff171cc99816e241b69909db8642a75	SAMN12684770
0ff7e2afedc1f41bce6bd1475994c888	SAMN12684770
0ff919eef80b5f58f94785df555ebf4f	SAMN12684819
10088ccae2bc03edbc0b309835e370bc	SAMN12684770
101535796ec54b1642b9e0346410b4cf	SAMN12684770
103e41d6831ede190da4b357b2acb323	SAMN12684770
104ea943a6e8b33b94c504c1a9fd33e3	SAMN12684770
10629b9045771ff274ef9a031d140416	SAMN12684770
1071d86a2a0a905492396142020f01cd	SAMN12684770
108a0f7337b72d0b7cf927ac5f4ce399	SAMN12684819
1094c439576c1982c4e286ba3f42c6d5	SAMN12684770
109d5a68787c917555394caadb4d4940	SAMN12684770
10ab96d3ead32cf4d91bfa034815bead	SAMN12684770
10b682c49a28d658123efee365b441f1	SAMN12684770
10e8c6228f49e84520bbf4ea5136e88f	SAMN12684819
10f930413aeb570562249eaf2dd2d062	SAMN12684770
1118020e48a44e674e93dbd49c7c9f68	SAMN12684770
11979d4b5edb764d20c3d88078c80455	SAMN12684770
11c3734d5e6013641c832ad47133ceb3	SAMN12684770
11d7368487299bdc775a05433fae42ec	SAMN12684770
11eb0775fe0404f975e0b8c2adfe5c1c	SAMN12684770
1219dea4da4632fd843a739d5e51f9f2	SAMN12684770
1227589a0b2e4f08a48b1019ebc4c11b	SAMN12684770
1247e450eb0d32a3c36554b8d81563ab	SAMN12684770
12562634b43b2749c1f5926df0b056d5	SAMN12684770
1262e50a7a86fdfd0e193b44b10552af	SAMN12684770
12836a0e7cc68020965c5d4842ff56bf	SAMN12684819
129b6f74c8ba89b16414adba1bce865f	SAMN12684819
12a1205833beeedd8f9a00629d63915e	SAMN12684770
12bb305881eed2ef79d7a5855386e84c	SAMN12684770
12bb997d0f906a8f323a716fff195674	SAMN12684819
12d803fc576bacd736717ff0e0748aae	SAMN12684819
12f764ad679106409c2ab3c69edb23df	SAMN12684770
12f7fa161a1258fec0f18d4304cdb2f8	SAMN12684770
1328d3db7b626b070d1d2db5489ac793	SAMN12684770
132d1f4294be88f9f3f0ed6e46358110	SAMN12684819
13401ed135abda39042bb3ff727a3447	SAMN12684770
135fbc20acb570bd53b40c055e789763	SAMN12684770
138a557fc5bf046a0edb0759c49caa96	SAMN12684770
138c4d8a6e06e752ce69295fa0dc4fa2	SAMN12684819
139eee55166cea08f3b59e25db056e91	SAMN12684770
13d1775ad056c2b3db3dc612bb27a441	SAMN12684770
1413546b9e9798f33b00307c6275183f	SAMN12684819
141ebd7b1a0d6aeebfa8e1add890cd05	SAMN12684770
1451393f421df67146585dbd32f7d49d	SAMN12684770
1459d015fa3990205fd23f4949d1670b	SAMN12684770
145ced7aa60d5f07e33c9be5d6ecebb6	SAMN12684770
145e8552d810cfe2fdca61cf33307de8	SAMN12684819
1468a5912176e9582eac2c97901ccdad	SAMN12684770
1475197dc911df44f0c4439b30a7c0d3	SAMN12684770
14901fb5bb894d88e309f9bf8f3c1755	SAMN12684770
14afd0eda86f4b1f361016117230119b	SAMN12684819
14bfe088d769f637d83fae06d76276b5	SAMN12684770
14e26c70dafb43d45a11e7f6a0516917	SAMN12684770
14fe0ebc7dec31014788df471ea9183c	SAMN12684770
15204a3cb3943afd73dc4d7eca287c05	SAMN12684770
152c3cb784305c7953a5a0f395d95f27	SAMN12684770
15480be1f512a248c17fc45e708e327b	SAMN12684770
156a208b18b6b146d0619942b4a50860	SAMN12684770
15a2c323a96f3eab22ca68e9e38721ba	SAMN12684819
15a4b5243a25df22b8b8cf2e662b2bc3	SAMN12684770
15d97656da01af07a8d1eee441af25dd	SAMN12684770
161441a928d044de41ae73185faa8508	SAMN12684770
1640a3dbdd6592acc82f2d44b27c35d3	SAMN12684770
16611816ad92e1920ceb7f633c1371fc	SAMN12684770
16636e006dda0a75baf6c1af5fc94325	SAMN12684770
166c0a20a3f2c1c31d55e21e882e6a6c	SAMN12684819
166cfd0eef5a4a5b883444340e3a927e	SAMN12684770
167d8a25a39ca2c8a923e311a45e4279	SAMN12684770
16a11d6bcab1b17f86406f6feb5618b7	SAMN12684819
16ba5b79717c07e0afeb09b0af82b6f8	SAMN12684770
16d0f8b75718e99b51b216dfb1da1d55	SAMN12684770
16e28c7793c1e8cd63eac7c3bdb090bc	SAMN12684770
170a97cfb947ebb6bc81ed23b77a1a65	SAMN12684770
170eba7496c68263fa8000fee7242e4b	SAMN12684770
172f22fbabff3053b5af20c421e96821	SAMN12684770
17409a17b5a51e302aa8c357c9044120	SAMN12684819
175506c15f19512ff7bddf01af06b5b2	SAMN12684770
179029dcacac668221cc4e4499a01577	SAMN12684770
1797f251fd5059fbd0d1852650844bcf	SAMN12684819
17b6304f591224b2c91997a8816ba817	SAMN12684770
17be3783b6ca2040ca3954909f30abf2	SAMN12684819
17db9985c27035a87e43dd271a3736d1	SAMN12684819
1808e346ee27f268fe18be767948fca1	SAMN12684819
18315702150f76aabae7662de821a9e9	SAMN12684770
1837fc0e8ed32ef5a7f1a819f455102f	SAMN12684770
18635737ce7fdd6baf352d4265a7a147	SAMN12684819
1898b332b9ab408fded6d09baa54e546	SAMN12684770
18c8fd7c4c6106362c8a350af264f29c	SAMN12684770
18c905d5f4e5b814242f5f017901af34	SAMN12684770
18d38c9f2b79ffaa132e59774ef04f8b	SAMN12684819
18fe6c987f62233fa69875a82cba4cbb	SAMN12684770
191b9b179c61a241b68e8e55b566ad75	SAMN12684770
191c71e499582c53bcf96351ffc9e516	SAMN12684770
193288ba9a909afa2aed2cd1caef27b5	SAMN12684770
19651ee379e1d6c0fa9695088e31b524	SAMN12684770
19989d818aecb6beaa1c468e61eb2e12	SAMN12684819
19b28eff6729d904906a49e3c64c6622	SAMN12684770
19c7b45f618e7ad10afe7c8a1c90221c	SAMN12684770
19c9c3dbf6b67ab1a2efd61bf6672293	SAMN12684770
19ca6eaf2ce48aa553d7261f3c7730d1	SAMN12684770
19ef75879fd74d153dce223e1b8a4316	SAMN12684770
1a1dd726678cbbc993eb544314122744	SAMN12684819
1a783ba0595d73a897779df4c5502836	SAMN12684770
1aa64c1e1f53f7c5cc82ca05161face0	SAMN12684770
1aae95a9565e6f054bca4b65bc11ac55	SAMN12684770
1abb9f434366d7593a68ec80c51d8f96	SAMN12684770
1ac0dc53f0deb06a4ef7e17ed7c610b1	SAMN12684770
1ac9ade5704ff36a76a7a2fe5c85f999	SAMN12684770
1ad49158d5d8840720a11f6dbd4abf8e	SAMN12684819
1ad7d78a3634bd358a7da72408edfc5d	SAMN12684819
1adf4f0ee9830de11d493a08baa80369	SAMN12684770
1b050ba35a386cbcdcb4bc1d05a5410e	SAMN12684770
1b0c6723f48403e27ad3f05947c0d106	SAMN12684819
1b3bb987275120e39ada744843dfc00e	SAMN12684770
1b4d0c2f197fc99df4e1e820811ecabd	SAMN12684770
1b7a6dca90208fee5320cc4448be6ae0	SAMN12684819
1b95610f5ac5f804a4c388f4ecf95895	SAMN12684770
1be3a3951111e62b3bbd7e0dd52b6da0	SAMN12684770
1be8a2542c01a4de4163abd689cbfb16	SAMN12684770
1beb7b63b4e70e26bfa90e74040f8f63	SAMN12684819
1bec21604f13679e06d6c3d7f8dcab14	SAMN12684770
1bef152fa27c19d5ed77c3057cd071d2	SAMN12684770
1bf002214f5a977cfd6ec3bb85b7b09a	SAMN12684770
1c0c5cf2058aa5e52e73d8b98cb61c72	SAMN12684770
1c0f4637adc41331eb5bfbe303418e3d	SAMN12684770
1c2627086c6330d6ea7b423d6aaf061f	SAMN12684770
1c2dd9faeb4d1aa4a3e50ee478a54ddc	SAMN12684770
1c49007d5bca39cd7c75ab1a19acd40a	SAMN12684819
1c5e25a255c8b86985ac33e53eff0377	SAMN12684819
1c765959624b2f7619c5f7f9a81528d6	SAMN12684770
1c8b9712c28088d84b1a2b6dec88a200	SAMN12684770
1cb78f1ee4b4006de9769ca2e2733e69	SAMN12684770
1cd5ab1cb4ddd598b03146f240215f33	SAMN12684819
1d1bda6217aeb015c330c293502a3402	SAMN12684770
1d2fb836b13598c24c9038aae53d4301	SAMN12684770
1d353cc136c2c95ead9d8b7ef944b9a8	SAMN12684770
1d862d2e914b08b905b699ccc88bf5d6	SAMN12684770
1d866ed2379bfb5fa3b544967971afa2	SAMN12684819
1daf099d480da0e505fdd6d3c20b95e7	SAMN12684770
1dbade4d5cd0d61557e87ecde19f0145	SAMN12684770
1dbe58af156ab9021f7e69097e287d78	SAMN12684770
1de255c9023ae8f3d2464bc9a3509cff	SAMN12684770
1e0733eca3e3bbdfd118ce9ba972ece6	SAMN12684770
1e18fc1c4472027e608264f1f649d4fb	SAMN12684770
1e33d980ff19f286c25cfbda3a30b522	SAMN12684770
1e4bba49816f9e9b90e067c9b2ac6e84	SAMN12684770
1e5ad7ce3588f0b48e241489cb4f6e5b	SAMN12684770
1e71981984f696f2b85693a512bfa221	SAMN12684770
1e79093488a8e4a473db839d7060d435	SAMN12684770
1e9feb5293b69e2d659f32a5a7ce7499	SAMN12684770
1ec727bd81edded20f162d0f96ab16c1	SAMN12684770
1ed5f9aecb6d00226a68e8d2914a36ed	SAMN12684770
1ee533efd34ef0a40585913f1230f267	SAMN12684770
1ee76e7e26fde9a276118fe18dc36796	SAMN12684819
1f0344a759134b00eb04c14902f1d556	SAMN12684770
1f09fe71fa10c99134707e165ac899c1	SAMN12684770
1f4615ff7ae6abe2d7f4ec04e1bf498c	SAMN12684819
1f547509c9089f63037fe8b1c2f35a35	SAMN12684819
1f759ecb9f3722f5b342c0d71bc0baff	SAMN12684770
1f7d9497f157d2d3ac6621dfb6a5f450	SAMN12684770
