model_ID,model,Npar,n_elements,df,Deviance,p.value
4,Er,5,1,1,5.257166519273483,0.0218565744866365
30,As+Ca,6,2,2,6.137421013055928,0.046481053244574015
31,As+Er,6,2,2,8.069890007063577,0.01768665278987023
43,Ca+Er,6,2,2,9.335047640992457,0.00939550570531424
44,Ca+Fe,6,2,2,6.239705247795428,0.04416367661062669
50,Ca+S,6,2,2,6.1165085141389,0.04696962057194414
55,Er+Fe,6,2,2,7.632824063584508,0.022006618459640498
56,Er+K,6,2,2,7.396519210672864,0.024766592629058844
61,Er+S,6,2,2,8.229145907052157,0.016332913833608416
63,Er+Si,6,2,2,6.187958157511275,0.04532125828497004
122,Al+As+Er,7,3,3,8.12583858620269,0.04348134671165532
134,Al+Ca+Er,7,3,3,9.411289140717372,0.024294064846969297
152,Al+Er+S,7,3,3,8.278315557969563,0.040596678929966296
212,As+Ca+Er,7,3,3,11.980683154344774,0.007449625635035753
213,As+Ca+Fe,7,3,3,8.829947845720767,0.03163938387295631
214,As+Ca+K,7,3,3,7.964779272357646,0.04674524785512474
219,As+Ca+S,7,3,3,8.648400653317594,0.03434995150004489
224,As+Er+Fe,7,3,3,10.45121527570575,0.015095510174796033
225,As+Er+K,7,3,3,10.13396795365361,0.017461021309080553
226,As+Er+Mg,7,3,3,8.069892008457828,0.04458911825730074
227,As+Er+Mn,7,3,3,8.261040004820984,0.04091389093275205
228,As+Er+Na,7,3,3,8.499048400381753,0.03674890580575527
229,As+Er+O,7,3,3,8.235089559767289,0.041394939206253895
230,As+Er+S,7,3,3,10.960529606442037,0.011941232794361269
231,As+Er+Sb,7,3,3,8.415151672236334,0.038167485539164034
232,As+Er+Si,7,3,3,8.971790453351446,0.02966830856474502
233,As+Er+Ti,7,3,3,8.25295783482727,0.041063123924682816
234,As+Er+V,7,3,3,8.082435249244782,0.04433838828368474
290,Ca+Er+Fe,7,3,3,11.608349886270503,0.008852605440120922
291,Ca+Er+K,7,3,3,11.234671474864399,0.010522297623223403
292,Ca+Er+Mg,7,3,3,9.335141910567586,0.02515142031729542
293,Ca+Er+Mn,7,3,3,9.52153535846685,0.02310336054452626
294,Ca+Er+Na,7,3,3,9.750624228649599,0.02080931689737917
295,Ca+Er+O,7,3,3,9.44944191031027,0.02387534103563914
296,Ca+Er+S,7,3,3,12.674518225755605,0.005396055275573981
297,Ca+Er+Sb,7,3,3,9.340943392697,0.02508506940914572
298,Ca+Er+Si,7,3,3,10.229599885023163,0.016711970131319455
299,Ca+Er+Ti,7,3,3,9.440526580816481,0.023972547711706142
300,Ca+Er+V,7,3,3,9.352935737836674,0.024948457906551227
301,Ca+Fe+K,7,3,3,8.210217633562934,0.041861170068444746
306,Ca+Fe+S,7,3,3,8.799024460730607,0.032085818151151656
315,Ca+K+S,7,3,3,7.979695116155426,0.04643321564623244
356,Er+Fe+K,7,3,3,9.798175488087395,0.020361973317971346
359,Er+Fe+Na,7,3,3,8.204243588373174,0.04197391564822498
361,Er+Fe+S,7,3,3,10.551426847366429,0.014416066627909488
362,Er+Fe+Sb,7,3,3,7.8572462821219915,0.04905598998933124
363,Er+Fe+Si,7,3,3,8.351267094549598,0.03928340861503462
370,Er+K+S,7,3,3,10.299763233736144,0.016182594976341128
371,Er+K+Sb,7,3,3,7.818810227201084,0.049908601011248555
372,Er+K+Si,7,3,3,8.286532850901153,0.04044663714128083
378,Er+Mg+S,7,3,3,8.230112982410674,0.04148781933253327
385,Er+Mn+S,7,3,3,8.370737076548494,0.038939979170529555
391,Er+Na+S,7,3,3,8.60129265181206,0.03508960166633919
396,Er+O+S,7,3,3,8.339862216378606,0.03948594948876965
401,Er+S+Sb,7,3,3,8.559413752776777,0.035760202142145855
402,Er+S+Si,7,3,3,9.17383390094426,0.02706676338385445
403,Er+S+Ti,7,3,3,8.406237448296793,0.03832131895633942
404,Er+S+V,7,3,3,8.251488161957013,0.04109031765411883
576,Al+As+Ca+Er,8,4,4,12.054095524664035,0.016953498027029005
588,Al+As+Er+Fe,8,4,4,10.612791398666104,0.03127827879599462
589,Al+As+Er+K,8,4,4,10.194607020923513,0.037274088035481094
594,Al+As+Er+S,8,4,4,11.00956200058829,0.02645676056910532
654,Al+Ca+Er+Fe,8,4,4,11.781685611534272,0.019050738625302974
655,Al+Ca+Er+K,8,4,4,11.308691753538824,0.02330527101335406
657,Al+Ca+Er+Mn,8,4,4,9.598655571488166,0.04775909428697518
658,Al+Ca+Er+Na,8,4,4,9.832240390398738,0.043350400649886385
659,Al+Ca+Er+O,8,4,4,9.5348470108612,0.049036122553817424
660,Al+Ca+Er+S,8,4,4,12.73620080529929,0.012639347961265347
662,Al+Ca+Er+Si,8,4,4,10.3274167020503,0.03525916619678387
663,Al+Ca+Er+Ti,8,4,4,9.52162777842409,0.049304736658856894
720,Al+Er+Fe+K,8,4,4,9.959783235137706,0.041110604492027206
725,Al+Er+Fe+S,8,4,4,10.690917629562477,0.030266330013858967
734,Al+Er+K+S,8,4,4,10.35968553388193,0.03478566375870853
940,As+Ca+Er+Fe,8,4,4,14.230585230982797,0.006594348025679246
941,As+Ca+Er+K,8,4,4,13.81791482275139,0.007899455509888286
942,As+Ca+Er+Mg,8,4,4,11.981322117185073,0.01749070057909171
943,As+Ca+Er+Mn,8,4,4,12.179129657917429,0.01606775406575962
944,As+Ca+Er+Na,8,4,4,12.406276536004725,0.01457246534162507
945,As+Ca+Er+O,8,4,4,12.15755487397746,0.016217307828497642
946,As+Ca+Er+S,8,4,4,15.231266601749667,0.004244823993388252
947,As+Ca+Er+Sb,8,4,4,11.989481138401288,0.01742965784627086
948,As+Ca+Er+Si,8,4,4,12.844617078002784,0.012060514747784263
949,As+Ca+Er+Ti,8,4,4,12.098753133110222,0.016631822778825092
950,As+Ca+Er+V,8,4,4,11.996251251136755,0.0173791636771371
951,As+Ca+Fe+K,8,4,4,10.739822128154628,0.029649039274454166
956,As+Ca+Fe+S,8,4,4,11.31130864803572,0.02327937377127326
965,As+Ca+K+S,8,4,4,10.452076226923282,0.03346356915518973
997,As+Ca+S+Si,8,4,4,9.49911519325974,0.04976543140405209
1006,As+Er+Fe+K,8,4,4,12.541189816246742,0.01374944541176968
1007,As+Er+Fe+Mg,8,4,4,10.463155345742166,0.033308317643208234
1008,As+Er+Fe+Mn,8,4,4,10.591455979434045,0.03156025563081625
1009,As+Er+Fe+Na,8,4,4,11.031908194837342,0.02620774106657316
1010,As+Er+Fe+O,8,4,4,10.611459580093651,0.031295809271119523
