model_ID,model,Npar,n_elements,df,Deviance,p.value
1,Al,42,1,1,10.922706082253342,9.499275120720131e-4
6,K,42,1,1,4.241928038284129,0.039437356523530344
14,Al+Ba,42,2,1,10.922706082253342,9.499275120720131e-4
15,Al+Ca,43,2,2,10.931296135211255,0.00422959909248615
16,Al+Cr,43,2,2,11.702499312404314,0.002876302521991108
17,Al+Fe,43,2,2,11.265179836895925,0.003579293235009298
18,Al+K,43,2,2,15.371419472814807,4.593446600135153e-4
19,Al+Mg,43,2,2,10.962571850496886,0.0041639716973089535
20,Al+Mn,43,2,2,13.399986776051492,0.0012309200414581975
21,Al+Na,43,2,2,11.034937636725374,0.00401600031417178
22,Al+O,42,2,1,10.922706082253342,9.499275120720131e-4
23,Al+Si,42,2,1,10.922706082253342,9.499275120720131e-4
24,Al+Ti,43,2,2,13.782085279629314,0.0010168530765906235
25,Al+V,42,2,1,10.922706082253342,9.499275120720131e-4
29,Ba+K,42,2,1,4.241928038284129,0.039437356523530344
65,K+Mn,43,2,2,6.157534340041593,0.04601595153886223
67,K+O,42,2,1,4.241928038284129,0.039437356523530344
68,K+Si,42,2,1,4.241928038284129,0.039437356523530344
69,K+Ti,43,2,2,6.456944409463858,0.03961798073811811
70,K+V,42,2,1,4.241928038284129,0.039437356523530344
92,Al+Ba+Ca,43,3,2,10.931296135211255,0.00422959909248615
93,Al+Ba+Cr,43,3,2,11.702499312404314,0.002876302521991108
94,Al+Ba+Fe,43,3,2,11.265179836895925,0.003579293235009298
95,Al+Ba+K,43,3,2,15.371419472814807,4.593446600135153e-4
96,Al+Ba+Mg,43,3,2,10.962571850496886,0.0041639716973089535
97,Al+Ba+Mn,43,3,2,13.399986776051492,0.0012309200414581975
98,Al+Ba+Na,43,3,2,11.034937636725374,0.00401600031417178
99,Al+Ba+O,42,3,1,10.922706082253342,9.499275120720131e-4
100,Al+Ba+Si,42,3,1,10.922706082253342,9.499275120720131e-4
101,Al+Ba+Ti,43,3,2,13.782085279629314,0.0010168530765906235
102,Al+Ba+V,42,3,1,10.922706082253342,9.499275120720131e-4
103,Al+Ca+Cr,44,3,3,11.704908721055858,0.008465509769647928
104,Al+Ca+Fe,44,3,3,11.29066216896814,0.0102536388289296
105,Al+Ca+K,44,3,3,15.371962458763107,0.0015248543352126256
106,Al+Ca+Mg,44,3,3,10.969612641792708,0.01189133146016293
107,Al+Ca+Mn,44,3,3,13.4261609429347,0.003800051268048407
108,Al+Ca+Na,44,3,3,11.040111447454478,0.011510943371819132
109,Al+Ca+O,43,3,2,10.931296135211255,0.00422959909248615
110,Al+Ca+Si,43,3,2,10.931296135211255,0.00422959909248615
111,Al+Ca+Ti,44,3,3,13.90584926031903,0.003036149815470934
112,Al+Ca+V,43,3,2,10.931296135211255,0.00422959909248615
113,Al+Cr+Fe,44,3,3,12.067715957496091,0.0071547575992451755
114,Al+Cr+K,44,3,3,16.107157802783547,0.0010780375599854465
115,Al+Cr+Mg,44,3,3,11.747795146657097,0.008298987143571754
116,Al+Cr+Mn,44,3,3,14.207527695124497,0.002635858916501179
117,Al+Cr+Na,44,3,3,11.796031040467028,0.008115555552825672
118,Al+Cr+O,43,3,2,11.702499312404314,0.002876302521991108
119,Al+Cr+Si,43,3,2,11.702499312404314,0.002876302521991108
120,Al+Cr+Ti,44,3,3,14.661914798866576,0.002129591251297105
121,Al+Cr+V,43,3,2,11.702499312404314,0.002876302521991108
122,Al+Fe+K,44,3,3,15.7689964719699,0.0012645864909293172
123,Al+Fe+Mg,44,3,3,11.30350160284246,0.010192991800720945
124,Al+Fe+Mn,44,3,3,13.653031438145433,0.0034175770672283962
125,Al+Fe+Na,44,3,3,11.420016008376592,0.009658565254856073
126,Al+Fe+O,43,3,2,11.265179836895925,0.003579293235009298
127,Al+Fe+Si,43,3,2,11.265179836895925,0.003579293235009298
128,Al+Fe+Ti,44,3,3,13.797481957821333,0.003194184908416237
129,Al+Fe+V,43,3,2,11.265179836895925,0.003579293235009298
130,Al+K+Mg,44,3,3,15.405460182594311,0.0015009809129389574
131,Al+K+Mn,44,3,3,17.574797841221823,5.382055158172532e-4
132,Al+K+Na,44,3,3,15.453922280410495,0.0014670976507354966
133,Al+K+O,43,3,2,15.371419472814807,4.593446600135153e-4
134,Al+K+Si,43,3,2,15.371419472814807,4.593446600135153e-4
135,Al+K+Ti,44,3,3,18.166471255490023,4.0640907436215266e-4
136,Al+K+V,43,3,2,15.371419472814807,4.593446600135153e-4
137,Al+Mg+Mn,44,3,3,13.440056172644859,0.0037754531242149107
138,Al+Mg+Na,44,3,3,11.075387164552296,0.01132513550434568
139,Al+Mg+O,43,3,2,10.962571850496886,0.0041639716973089535
140,Al+Mg+Si,43,3,2,10.962571850496886,0.0041639716973089535
141,Al+Mg+Ti,44,3,3,13.891080567248935,0.003057222655891336
142,Al+Mg+V,43,3,2,10.962571850496886,0.0041639716973089535
143,Al+Mn+Na,44,3,3,13.558476094659056,0.003572116686050894
144,Al+Mn+O,43,3,2,13.399986776051492,0.0012309200414581975
